category,value,substitution,scenario,measure,basis
1,-0.8034344600049812,presub,tracker_actual_2026-07-21,level,% of after-tax income
2,-0.4958719525528391,presub,tracker_actual_2026-07-21,level,% of after-tax income
3,-0.47857643161720353,presub,tracker_actual_2026-07-21,level,% of after-tax income
4,-0.42495418758981657,presub,tracker_actual_2026-07-21,level,% of after-tax income
5,-0.43537435558930393,presub,tracker_actual_2026-07-21,level,% of after-tax income
6,-0.4291162151927915,presub,tracker_actual_2026-07-21,level,% of after-tax income
7,-0.4088994898857601,presub,tracker_actual_2026-07-21,level,% of after-tax income
8,-0.39413845186810254,presub,tracker_actual_2026-07-21,level,% of after-tax income
9,-0.361503797819711,presub,tracker_actual_2026-07-21,level,% of after-tax income
10,-0.25426299950517944,presub,tracker_actual_2026-07-21,level,% of after-tax income
Total,-0.36960798693855695,presub,tracker_actual_2026-07-21,level,% of after-tax income
1,-0.6865191584911454,postsub,tracker_actual_2026-07-21,level,% of after-tax income
2,-0.4237129629513597,postsub,tracker_actual_2026-07-21,level,% of after-tax income
3,-0.4089342758655145,postsub,tracker_actual_2026-07-21,level,% of after-tax income
4,-0.36311510867935687,postsub,tracker_actual_2026-07-21,level,% of after-tax income
5,-0.3720189400712792,postsub,tracker_actual_2026-07-21,level,% of after-tax income
6,-0.3666714805178185,postsub,tracker_actual_2026-07-21,level,% of after-tax income
7,-0.34939668097145116,postsub,tracker_actual_2026-07-21,level,% of after-tax income
8,-0.3367836603670385,postsub,tracker_actual_2026-07-21,level,% of after-tax income
9,-0.3088979816337507,postsub,tracker_actual_2026-07-21,level,% of after-tax income
10,-0.2172628000728872,postsub,tracker_actual_2026-07-21,level,% of after-tax income
Total,-0.31582285400490684,postsub,tracker_actual_2026-07-21,level,% of after-tax income
1,-0.7624384097863889,presub,tracker_no_s338_2026-07-21,level,% of after-tax income
2,-0.4705695881649316,presub,tracker_no_s338_2026-07-21,level,% of after-tax income
3,-0.45415658855509233,presub,tracker_no_s338_2026-07-21,level,% of after-tax income
4,-0.4032704733825304,presub,tracker_no_s338_2026-07-21,level,% of after-tax income
5,-0.4131589418447706,presub,tracker_no_s338_2026-07-21,level,% of after-tax income
6,-0.40722012934709984,presub,tracker_no_s338_2026-07-21,level,% of after-tax income
7,-0.3880349827527084,presub,tracker_no_s338_2026-07-21,level,% of after-tax income
8,-0.3740271415245522,presub,tracker_no_s338_2026-07-21,level,% of after-tax income
9,-0.3430577034742719,presub,tracker_no_s338_2026-07-21,level,% of after-tax income
10,-0.2412889745966889,presub,tracker_no_s338_2026-07-21,level,% of after-tax income
Total,-0.3507483682042148,presub,tracker_no_s338_2026-07-21,level,% of after-tax income
1,-0.6524834401045254,postsub,tracker_no_s338_2026-07-21,level,% of after-tax income
2,-0.4027064478302542,postsub,tracker_no_s338_2026-07-21,level,% of after-tax income
3,-0.3886604471167506,postsub,tracker_no_s338_2026-07-21,level,% of after-tax income
4,-0.34511286733171515,postsub,tracker_no_s338_2026-07-21,level,% of after-tax income
5,-0.3535752714246769,postsub,tracker_no_s338_2026-07-21,level,% of after-tax income
6,-0.3484929241047123,postsub,tracker_no_s338_2026-07-21,level,% of after-tax income
7,-0.33207456127285373,postsub,tracker_no_s338_2026-07-21,level,% of after-tax income
8,-0.32008685929500336,postsub,tracker_no_s338_2026-07-21,level,% of after-tax income
9,-0.29358367527675305,postsub,tracker_no_s338_2026-07-21,level,% of after-tax income
10,-0.20649151221047468,postsub,tracker_no_s338_2026-07-21,level,% of after-tax income
Total,-0.3001652316559622,postsub,tracker_no_s338_2026-07-21,level,% of after-tax income
1,-1.63820199579545,presub,tracker_new_301_2026-07-21,level,% of after-tax income
2,-1.0110823754385778,presub,tracker_new_301_2026-07-21,level,% of after-tax income
3,-0.9758168269395694,presub,tracker_new_301_2026-07-21,level,% of after-tax income
4,-0.8664811293094836,presub,tracker_new_301_2026-07-21,level,% of after-tax income
5,-0.8877278406008793,presub,tracker_new_301_2026-07-21,level,% of after-tax income
6,-0.8749674990946522,presub,tracker_new_301_2026-07-21,level,% of after-tax income
7,-0.8337456180388879,presub,tracker_new_301_2026-07-21,level,% of after-tax income
8,-0.8036478774709902,presub,tracker_new_301_2026-07-21,level,% of after-tax income
9,-0.7371058531298414,presub,tracker_new_301_2026-07-21,level,% of after-tax income
10,-0.518441981246037,presub,tracker_new_301_2026-07-21,level,% of after-tax income
Total,-0.75363028598615045,presub,tracker_new_301_2026-07-21,level,% of after-tax income
1,-1.426441240143249,postsub,tracker_new_301_2026-07-21,level,% of after-tax income
2,-0.8803856918800081,postsub,tracker_new_301_2026-07-21,level,% of after-tax income
3,-0.849678713824575,postsub,tracker_new_301_2026-07-21,level,% of after-tax income
4,-0.7544762000200071,postsub,tracker_new_301_2026-07-21,level,% of after-tax income
5,-0.7729764736622377,postsub,tracker_new_301_2026-07-21,level,% of after-tax income
6,-0.7618655865985482,postsub,tracker_new_301_2026-07-21,level,% of after-tax income
7,-0.7259722161319409,postsub,tracker_new_301_2026-07-21,level,% of after-tax income
8,-0.6997650338117071,postsub,tracker_new_301_2026-07-21,level,% of after-tax income
9,-0.6418245063514525,postsub,tracker_new_301_2026-07-21,level,% of after-tax income
10,-0.4514260296159836,postsub,tracker_new_301_2026-07-21,level,% of after-tax income
Total,-0.6562129227718414,postsub,tracker_new_301_2026-07-21,level,% of after-tax income
1,0.04099605021859232,presub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
2,0.025302364387907506,presub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
3,0.0244198430621112,presub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
4,0.021683714207286153,presub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
5,0.02221541374453334,presub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
6,0.021896085845691637,presub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
7,0.020864507133051657,presub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
8,0.020111310343550348,presub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
9,0.01844609434543909,presub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
10,0.012974024908490533,presub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
Total,0.018859618734342165,presub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
1,0.034035718386620006,postsub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
2,0.021006515121105462,postsub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
3,0.020273828748763933,postsub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
4,0.018002241347641723,postsub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
5,0.01844366864660235,postsub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
6,0.01817855641310623,postsub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
7,0.017322119698597427,postsub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
8,0.01669680107203514,postsub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
9,0.015314306356997653,postsub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
10,0.01077128786241252,postsub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
Total,0.015657622348944633,postsub,tracker_no_s338_2026-07-21,delta_vs_default,% of after-tax income
1,-0.8347675357904687,presub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
2,-0.5152104228857387,presub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
3,-0.49724039532236586,presub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
4,-0.44152694171966705,presub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
5,-0.45235348501157535,presub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
6,-0.44585128390186074,presub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
7,-0.42484612815312783,presub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
8,-0.40950942560288767,presub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
9,-0.37560205531013047,presub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
10,-0.2641789817408576,presub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
Total,-0.3840222990475935,presub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
1,-0.7399220816521035,postsub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
2,-0.45667272892864846,postsub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
3,-0.44074443795906054,postsub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
4,-0.3913610913406503,postsub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
5,-0.4009575335909584,postsub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
6,-0.3951941060807297,postsub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
7,-0.3765755351604897,postsub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
8,-0.3629813734446686,postsub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
9,-0.3329265247177018,postsub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
10,-0.2341632295430964,postsub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
Total,-0.34039006876693456,postsub,tracker_new_301_2026-07-21,delta_vs_default,% of after-tax income
1,-297.7608452224461,presub,tracker_actual_2026-07-21,level,2025 dollars
2,-297.706644154148,presub,tracker_actual_2026-07-21,level,2025 dollars
3,-349.67186976110975,presub,tracker_actual_2026-07-21,level,2025 dollars
4,-364.9124104252514,presub,tracker_actual_2026-07-21,level,2025 dollars
5,-441.46959656755416,presub,tracker_actual_2026-07-21,level,2025 dollars
6,-502.1818331536681,presub,tracker_actual_2026-07-21,level,2025 dollars
7,-561.8483440775286,presub,tracker_actual_2026-07-21,level,2025 dollars
8,-648.5627053180001,presub,tracker_actual_2026-07-21,level,2025 dollars
9,-752.81719880763535,presub,tracker_actual_2026-07-21,level,2025 dollars
10,-1273.0999237824235,presub,tracker_actual_2026-07-21,level,2025 dollars
Total,-549.0031371269765,presub,tracker_actual_2026-07-21,level,2025 dollars
1,-254.4308653284034,postsub,tracker_actual_2026-07-21,level,2025 dollars
2,-254.3845515671078,postsub,tracker_actual_2026-07-21,level,2025 dollars
3,-298.7878286611382,postsub,tracker_actual_2026-07-21,level,2025 dollars
4,-311.81057497405055,postsub,tracker_actual_2026-07-21,level,2025 dollars
5,-377.2272052322771,postsub,tracker_actual_2026-07-21,level,2025 dollars
6,-429.10463350558746,postsub,tracker_actual_2026-07-21,level,2025 dollars
7,-480.08850948882247,postsub,tracker_actual_2026-07-21,level,2025 dollars
8,-554.1842488071692,postsub,tracker_actual_2026-07-21,level,2025 dollars
9,-643.2676908330205,postsub,tracker_actual_2026-07-21,level,2025 dollars
10,-1087.8391852209477,postsub,tracker_actual_2026-07-21,level,2025 dollars
Total,-469.1125293618524,postsub,tracker_actual_2026-07-21,level,2025 dollars
1,-282.56729905093357,presub,tracker_no_s338_2026-07-21,level,2025 dollars
2,-282.51586364658,presub,tracker_no_s338_2026-07-21,level,2025 dollars
3,-331.82951142777824,presub,tracker_no_s338_2026-07-21,level,2025 dollars
4,-346.29238819831266,presub,tracker_no_s338_2026-07-21,level,2025 dollars
5,-418.9431670305974,presub,tracker_no_s338_2026-07-21,level,2025 dollars
6,-476.55750077103056,presub,tracker_no_s338_2026-07-21,level,2025 dollars
7,-533.179468051359,presub,tracker_no_s338_2026-07-21,level,2025 dollars
8,-615.4691419214811,presub,tracker_no_s338_2026-07-21,level,2025 dollars
9,-714.4039451770323,presub,tracker_no_s338_2026-07-21,level,2025 dollars
10,-1208.1387215851132,presub,tracker_no_s338_2026-07-21,level,2025 dollars
Total,-520.9897006860218,presub,tracker_no_s338_2026-07-21,level,2025 dollars
1,-241.8168877371382,postsub,tracker_no_s338_2026-07-21,level,2025 dollars
2,-241.7728700838497,postsub,tracker_no_s338_2026-07-21,level,2025 dollars
3,-283.9747556858538,postsub,tracker_no_s338_2026-07-21,level,2025 dollars
4,-296.35187030641714,postsub,tracker_no_s338_2026-07-21,level,2025 dollars
5,-358.52532522462235,postsub,tracker_no_s338_2026-07-21,level,2025 dollars
6,-407.8308142920216,postsub,tracker_no_s338_2026-07-21,level,2025 dollars
7,-456.28705091696463,postsub,tracker_no_s338_2026-07-21,level,2025 dollars
8,-526.709328707114,postsub,tracker_no_s338_2026-07-21,level,2025 dollars
9,-611.3762604168271,postsub,tracker_no_s338_2026-07-21,level,2025 dollars
