category,series,value,unit,metric
Tariff rate,Average statutory rate,11.799503308306608,pct,etr_statutory_level
Tariff rate,"Effective rate, pre-substitution",10.865264086926953,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",8.991044614042206,pct,etr_postsub_level
Consumer price increase,Pre-substitution,0.7940331278302027,pct,price_presub
Consumer price increase,Post-substitution,0.6678774840383362,pct,price_postsub
Household cost,Pre-substitution,1075.4152506518874,usd,hh_cost_presub
Household cost,Post-substitution,904.553735515466,usd,hh_cost_postsub
Real GDP,2025 Q4/Q4,-0.29408879795755904,pp,gdp_2025_q4q4
Real GDP,2026 Q4/Q4,0.21472354701421725,pp,gdp_2026_q4q4
Real GDP,Long-run,-0.1431908905506134,pct,gdp_long_run
Revenue (10-year),Conventional,1897.9337858266451,usd_bn,revenue_conventional
Revenue (10-year),Dynamic,1769.646785826645,usd_bn,revenue_dynamic
