time,series,value
2025-03-15,gdp_level,0
2025-06-15,gdp_level,-0.24276707042624768
2025-09-15,gdp_level,-0.2842863599037921
2025-12-15,gdp_level,-0.24241492944400223
2026-03-15,gdp_level,-0.1939313447326279
2026-06-15,gdp_level,-0.18583854115910456
2026-09-15,gdp_level,-0.08053825832768846
2026-12-15,gdp_level,-0.03085680399815159
2027-03-15,gdp_level,-0.01763613569310634
2027-06-15,gdp_level,-0.023405816650118393
2027-09-15,gdp_level,-0.032137243164164886
2027-12-15,gdp_level,-0.04708666527102361
2028-03-15,gdp_level,-0.058037898438485246
2028-06-15,gdp_level,-0.06489871308361153
2028-09-15,gdp_level,-0.06851702400788702
2028-12-15,gdp_level,-0.06984352956393053
2029-03-15,gdp_level,-0.07
2029-06-15,gdp_level,-0.07
2029-09-15,gdp_level,-0.07
2029-12-15,gdp_level,-0.07
2030-03-15,gdp_level,-0.07
2030-06-15,gdp_level,-0.07
2030-09-15,gdp_level,-0.07
2030-12-15,gdp_level,-0.07
2031-03-15,gdp_level,-0.07
2031-06-15,gdp_level,-0.07
2031-09-15,gdp_level,-0.07
2031-12-15,gdp_level,-0.07
2032-03-15,gdp_level,-0.07
2032-06-15,gdp_level,-0.07
2032-09-15,gdp_level,-0.07
2032-12-15,gdp_level,-0.07
2033-03-15,gdp_level,-0.07
2033-06-15,gdp_level,-0.07
2033-09-15,gdp_level,-0.07
2033-12-15,gdp_level,-0.07
2034-03-15,gdp_level,-0.07
2034-06-15,gdp_level,-0.07
2034-09-15,gdp_level,-0.07
2034-12-15,gdp_level,-0.07
2035-03-15,gdp_level,-0.07
2035-06-15,gdp_level,-0.07
2035-09-15,gdp_level,-0.07
2035-12-15,gdp_level,-0.07
