category,value,substitution,scenario,measure,basis
1,-1.5755047367042987,presub,tracker_actual_2026-08-11,level,% of after-tax income
2,-0.9723862355131788,presub,tracker_actual_2026-08-11,level,% of after-tax income
3,-0.9384703699207404,presub,tracker_actual_2026-08-11,level,% of after-tax income
4,-0.8333191675969838,presub,tracker_actual_2026-08-11,level,% of after-tax income
5,-0.8537527248535959,presub,tracker_actual_2026-08-11,level,% of after-tax income
6,-0.8414807470775807,presub,tracker_actual_2026-08-11,level,% of after-tax income
7,-0.8018365096600317,presub,tracker_actual_2026-08-11,level,% of after-tax income
8,-0.7728906696778289,presub,tracker_actual_2026-08-11,level,% of after-tax income
9,-0.7088953413798268,presub,tracker_actual_2026-08-11,level,% of after-tax income
10,-0.4986001721740555,presub,tracker_actual_2026-08-11,level,% of after-tax income
Total,-0.7247873512194468,presub,tracker_actual_2026-08-11,level,% of after-tax income
1,-1.323761780902881,postsub,tracker_actual_2026-08-11,level,% of after-tax income
2,-0.8170129259915806,postsub,tracker_actual_2026-08-11,level,% of after-tax income
3,-0.7885163270340773,postsub,tracker_actual_2026-08-11,level,% of after-tax income
4,-0.7001667717395951,postsub,tracker_actual_2026-08-11,level,% of after-tax income
5,-0.7173353409695271,postsub,tracker_actual_2026-08-11,level,% of after-tax income
6,-0.7070242484177138,postsub,tracker_actual_2026-08-11,level,% of after-tax income
7,-0.6737145889138205,postsub,tracker_actual_2026-08-11,level,% of after-tax income
8,-0.6493938770861148,postsub,tracker_actual_2026-08-11,level,% of after-tax income
9,-0.5956240801546011,postsub,tracker_actual_2026-08-11,level,% of after-tax income
10,-0.4189310488880423,postsub,tracker_actual_2026-08-11,level,% of after-tax income
Total,-0.6089767758065535,postsub,tracker_actual_2026-08-11,level,% of after-tax income
1,-0.8334213826466622,presub,tracker_no_fl_301_2026-08-11,level,% of after-tax income
2,-0.5143795902278387,presub,tracker_no_fl_301_2026-08-11,level,% of after-tax income
3,-0.4964385412819393,presub,tracker_no_fl_301_2026-08-11,level,% of after-tax income
4,-0.4408149316627496,presub,tracker_no_fl_301_2026-08-11,level,% of after-tax income
5,-0.4516240159799563,presub,tracker_no_fl_301_2026-08-11,level,% of after-tax income
6,-0.4451323003743971,presub,tracker_no_fl_301_2026-08-11,level,% of after-tax income
7,-0.4241610177163575,presub,tracker_no_fl_301_2026-08-11,level,% of after-tax income
8,-0.40884904726154303,presub,tracker_no_fl_301_2026-08-11,level,% of after-tax income
9,-0.3749963562790859,presub,tracker_no_fl_301_2026-08-11,level,% of after-tax income
10,-0.2637529644946775,presub,tracker_no_fl_301_2026-08-11,level,% of after-tax income
Total,-0.3834030214607321,presub,tracker_no_fl_301_2026-08-11,level,% of after-tax income
1,-0.7040459211345316,postsub,tracker_no_fl_301_2026-08-11,level,% of after-tax income
2,-0.434530310783132,postsub,tracker_no_fl_301_2026-08-11,level,% of after-tax income
3,-0.4193743253545811,postsub,tracker_no_fl_301_2026-08-11,level,% of after-tax income
