category,group,substitution,basis,value
Leather products,Commodities,postsub,overall,35.203657388258655
Leather products,Commodities,postsub,domestic,4.589156023169224
Leather products,Commodities,postsub,imported,42.220235413156864
Wearing apparel,Commodities,postsub,overall,32.703775028269106
Wearing apparel,Commodities,postsub,domestic,5.108455257369954
Wearing apparel,Commodities,postsub,imported,37.67938629549469
Crops nec,Commodities,postsub,overall,25.977038436413164
Crops nec,Commodities,postsub,domestic,2.246271106077568
Crops nec,Commodities,postsub,imported,27.13640416858223
Metals nec,Commodities,postsub,overall,23.489232802800373
Metals nec,Commodities,postsub,domestic,8.248404115327842
Metals nec,Commodities,postsub,imported,36.1214885928925
"Wool, silk-worm cocoons",Commodities,postsub,overall,21.013503895564345
"Wool, silk-worm cocoons",Commodities,postsub,domestic,21.001427169187583
"Wool, silk-worm cocoons",Commodities,postsub,imported,22.426480881645393
Processed rice,Commodities,postsub,overall,19.745447626004427
Processed rice,Commodities,postsub,domestic,17.378409256159248
Processed rice,Commodities,postsub,imported,35.602189358691774
Electrical equipment,Commodities,postsub,overall,18.948383685138193
Electrical equipment,Commodities,postsub,domestic,5.132608710123475
Electrical equipment,Commodities,postsub,imported,28.476920796402712
Textiles,Commodities,postsub,overall,17.958092122243784
Textiles,Commodities,postsub,domestic,4.275161137373435
Textiles,Commodities,postsub,imported,37.4257750415827
Motor vehicles and parts,Commodities,postsub,overall,15.796358100803543
Motor vehicles and parts,Commodities,postsub,domestic,7.040731477651732
Motor vehicles and parts,Commodities,postsub,imported,29.914051235237284
Machinery and equipment nec,Commodities,postsub,overall,12.366567809803385
Machinery and equipment nec,Commodities,postsub,domestic,5.096378530993191
Machinery and equipment nec,Commodities,postsub,imported,25.554353013226525
Ferrous metals,Commodities,postsub,overall,12.028419471254074
Ferrous metals,Commodities,postsub,domestic,4.685769834183313
Ferrous metals,Commodities,postsub,imported,34.62397452217412
Rubber and plastic products,Commodities,postsub,overall,11.871422028356177
Rubber and plastic products,Commodities,postsub,domestic,3.4539437437536793
Rubber and plastic products,Commodities,postsub,imported,30.421273743061256
Mineral products nec,Commodities,postsub,overall,11.726501311835046
Mineral products nec,Commodities,postsub,domestic,2.1979642005705236
Mineral products nec,Commodities,postsub,imported,30.385043563930974
Transport equipment nec,Commodities,postsub,overall,11.267585709518123
Transport equipment nec,Commodities,postsub,domestic,5.313759605774893
Transport equipment nec,Commodities,postsub,imported,22.366097249761587
Metal products,Commodities,postsub,overall,10.687902843433589
Metal products,Commodities,postsub,domestic,3.9732429779544076
Metal products,Commodities,postsub,imported,28.066312099592835
"Computer, electronic and optical",Commodities,postsub,overall,8.695242991268005
"Computer, electronic and optical",Commodities,postsub,domestic,1.932276220281779
"Computer, electronic and optical",Commodities,postsub,imported,9.975375987204682
Manufactures nec,Commodities,postsub,overall,8.514092095616586
Manufactures nec,Commodities,postsub,domestic,2.463652180859268
Manufactures nec,Commodities,postsub,imported,31.20626095755073
Fishing,Commodities,postsub,overall,6.6180460544650925
Fishing,Commodities,postsub,domestic,2.8501074249156235
Fishing,Commodities,postsub,imported,20.33720721846572
"Vegetables, fruit, nuts",Commodities,postsub,overall,6.243667536785497
"Vegetables, fruit, nuts",Commodities,postsub,domestic,0.5917595924612947
"Vegetables, fruit, nuts",Commodities,postsub,imported,19.371069108324832
Wood products,Commodities,postsub,overall,5.663984670700964
Wood products,Commodities,postsub,domestic,2.7293401611480124
Wood products,Commodities,postsub,imported,23.911918225987012
Chemical products,Commodities,postsub,overall,5.386219964035458
Chemical products,Commodities,postsub,domestic,2.6085728973804017
Chemical products,Commodities,postsub,imported,22.341943797008067
Beverages and tobacco products,Commodities,postsub,overall,5.289606153021369
Beverages and tobacco products,Commodities,postsub,domestic,3.2727928481022626
Beverages and tobacco products,Commodities,postsub,imported,23.52546298193066
Food products nec,Commodities,postsub,overall,5.144685436500236
Food products nec,Commodities,postsub,domestic,2.4757289072360287
Food products nec,Commodities,postsub,imported,26.134035879311057
"Paper products, publishing",Commodities,postsub,overall,4.64953965505303
"Paper products, publishing",Commodities,postsub,domestic,2.765570340278296
"Paper products, publishing",Commodities,postsub,imported,21.146347885708717
Natural gas,Commodities,postsub,overall,4.251007684619913
Natural gas,Commodities,postsub,domestic,1.7148951455000785
Natural gas,Commodities,postsub,imported,4.866920729834731
Vegetable oils and fats,Commodities,postsub,overall,3.7437851767959467
Vegetable oils and fats,Commodities,postsub,domestic,1.3767468069507671
Vegetable oils and fats,Commodities,postsub,imported,19.8782916161488
