time,series,value
2025-01-01,gdp_level,-2.802327202511279e-05
2025-04-01,gdp_level,-0.6811602772503145
2025-07-01,gdp_level,-0.2832332103364088
2025-10-01,gdp_level,-0.8266323363389616
2026-01-01,gdp_level,-1.1192452008116915
2026-04-01,gdp_level,-1.2273194694546907
2026-07-01,gdp_level,-1.0813394387520048
2026-10-01,gdp_level,-0.9044850357627476
2027-01-01,gdp_level,-0.7825496048411873
2027-04-01,gdp_level,-0.7184307837195592
2027-07-01,gdp_level,-0.6871820303790965
2027-10-01,gdp_level,-0.6480350721446371
2028-01-01,gdp_level,-0.5938634845268131
2028-04-01,gdp_level,-0.5304569679362103
2028-07-01,gdp_level,-0.53
2028-10-01,gdp_level,-0.53
2029-01-01,gdp_level,-0.53
2029-04-01,gdp_level,-0.53
2029-07-01,gdp_level,-0.53
2029-10-01,gdp_level,-0.53
2030-01-01,gdp_level,-0.53
2030-04-01,gdp_level,-0.53
2030-07-01,gdp_level,-0.53
2030-10-01,gdp_level,-0.53
2031-01-01,gdp_level,-0.53
2031-04-01,gdp_level,-0.53
2031-07-01,gdp_level,-0.53
2031-10-01,gdp_level,-0.53
2032-01-01,gdp_level,-0.53
2032-04-01,gdp_level,-0.53
2032-07-01,gdp_level,-0.53
2032-10-01,gdp_level,-0.53
2033-01-01,gdp_level,-0.53
2033-04-01,gdp_level,-0.53
2033-07-01,gdp_level,-0.53
2033-10-01,gdp_level,-0.53
2034-01-01,gdp_level,-0.53
2034-04-01,gdp_level,-0.53
2034-07-01,gdp_level,-0.53
2034-10-01,gdp_level,-0.53
2035-01-01,gdp_level,-0.53
2035-04-01,gdp_level,-0.53
2035-07-01,gdp_level,-0.53
2035-10-01,gdp_level,-0.53
