category,series,value
2025,conventional,152.98942646368462
2026,conventional,250.2086505921721
2027,conventional,240.56027318969626
2028,conventional,249.63645756917018
2029,conventional,257.9282058925438
2030,conventional,266.72466524396776
2031,conventional,277.1451664419135
2032,conventional,288.182440961638
2033,conventional,299.38737821568395
2034,conventional,310.87290191032287
2035,conventional,322.1899014580975
2025,dynamic,144.48342646368462
2026,dynamic,204.9576505921721
2027,dynamic,181.60127318969626
2028,dynamic,197.82145756917018
2029,dynamic,215.3552058925438
2030,dynamic,227.95266524396777
2031,dynamic,237.2651664419135
2032,dynamic,245.782440961638
2033,dynamic,254.37137821568396
2034,dynamic,263.1439019103229
2035,dynamic,271.5869014580975
2025,difference,-8.506
2026,difference,-45.251
2027,difference,-58.959
2028,difference,-51.815
2029,difference,-42.573
2030,difference,-38.772
2031,difference,-39.88
2032,difference,-42.4
2033,difference,-45.016
2034,difference,-47.729
2035,difference,-50.603
2026-35,conventional,2762.836041475206
2026-35,dynamic,2299.838041475206
2026-35,difference,-462.998
2025-34,conventional,2593.635566480793
2025-34,dynamic,2172.734566480793
2025-34,difference,-420.901
