category,value,substitution,basis
1,-3.5886696734118493,presub,% of after-tax income
2,-2.2577300360276356,presub,% of after-tax income
3,-2.1135952032359326,presub,% of after-tax income
4,-1.8870643654551367,presub,% of after-tax income
5,-1.8882569998865177,presub,% of after-tax income
6,-1.8585932835128918,presub,% of after-tax income
7,-1.758975738588583,presub,% of after-tax income
8,-1.6896735674009307,presub,% of after-tax income
9,-1.5293732257471768,presub,% of after-tax income
10,-1.069213438351882,presub,% of after-tax income
1,-1349.38,presub,2025 dollars
2,-1365.99,presub,2025 dollars
3,-1561.16,presub,2025 dollars
4,-1624.4,presub,2025 dollars
5,-1906.27,presub,2025 dollars
6,-2163.16,presub,2025 dollars
7,-2406.28,presub,2025 dollars
8,-2769.46,presub,2025 dollars
9,-3176.45,presub,2025 dollars
10,-5347.59,presub,2025 dollars
