category,group,substitution,value
Motor vehicles and parts,Durable goods,presub,4.444573691976659
Motor vehicles and parts,Durable goods,postsub,3.74617048244017
Clothing and footwear,Nondurable goods,presub,3.61921352111922
Clothing and footwear,Nondurable goods,postsub,2.41861968508959
Furnishings and durable household equipment,Durable goods,presub,2.1122048685779
Furnishings and durable household equipment,Durable goods,postsub,1.714030551639938
Recreational goods and vehicles,Durable goods,presub,1.756760737510435
Recreational goods and vehicles,Durable goods,postsub,1.482749055143951
Other durable goods,Durable goods,presub,1.354019748772798
Other durable goods,Durable goods,postsub,1.044597010140712
Other nondurable goods,Nondurable goods,presub,0.9107827487154178
Other nondurable goods,Nondurable goods,postsub,0.6764283998316974
Net foreign travel,Services,presub,0.7462967430547297
Net foreign travel,Services,postsub,0.6189974469770232
Transportation services,Services,presub,0.7387612703393754
Transportation services,Services,postsub,0.6928239597734908
Communication,Services,presub,0.443379124930659
Communication,Services,postsub,0.382362326044061
Food and beverages purchased for off-premises consumption,Nondurable goods,presub,0.4268682127111253
Food and beverages purchased for off-premises consumption,Nondurable goods,postsub,0.374722437428161
Household utilities,Services,presub,0.3548724826672126
Household utilities,Services,postsub,0.3139702988143737
Gasoline and other energy goods,Nondurable goods,presub,0.344907153570871
Gasoline and other energy goods,Nondurable goods,postsub,0.3051695004411484
Other services,Services,presub,0.3177633703289727
Other services,Services,postsub,0.2798628963164465
Final consumption expenditures of NPISH,Services,presub,0.3060768814332054
Final consumption expenditures of NPISH,Services,postsub,0.2715230226035164
Recreation services,Services,presub,0.3033967608010936
Recreation services,Services,postsub,0.2623852244177371
Food services and accommodations,Services,presub,0.2689354095481606
Food services and accommodations,Services,postsub,0.2363956020370353
Health care,Services,presub,0.2458091566514932
Health care,Services,postsub,0.2090828497534817
Education,Services,presub,0.2099976975177403
Education,Services,postsub,0.1861728961089694
Financial services and insurance,Services,presub,0.0974000981904833
Financial services and insurance,Services,postsub,0.08608891016707117
Housing,Services,presub,0.05005570362826073
Housing,Services,postsub,0.04426229988794993
