time,series,variant,value
2022-11-02,Automated,observed,66.8278
2022-12-02,Automated,observed,67.112
2023-01-02,Automated,observed,67.3414
2023-02-02,Automated,observed,67.3801
2023-03-02,Automated,observed,67.2555
2023-04-02,Automated,observed,67.2306
2023-05-02,Automated,observed,67.2774
2023-06-02,Automated,observed,67.2961
2023-07-02,Automated,observed,67.2437
2023-08-02,Automated,observed,67.1445
2023-09-02,Automated,observed,66.95
2023-10-02,Automated,observed,66.878
2023-11-02,Automated,observed,66.8808
2023-12-02,Automated,observed,67.0974
2024-01-02,Automated,observed,67.1743
2024-02-02,Automated,observed,67.0422
2024-03-02,Automated,observed,66.8258
2024-04-02,Automated,observed,66.5858
2024-05-02,Automated,observed,66.4923
2024-06-02,Automated,observed,66.4532
2024-07-02,Automated,observed,66.3548
2024-08-02,Automated,observed,66.341
2024-09-02,Automated,observed,66.1921
2024-10-02,Automated,observed,66.2335
2024-11-02,Automated,observed,66.2394
2024-12-02,Automated,observed,66.3448
2025-01-02,Automated,observed,66.2764
2025-02-02,Automated,observed,66.1894
2025-03-02,Automated,observed,66.1693
2025-04-02,Automated,observed,66.2777
2025-05-02,Automated,observed,66.4255
2025-06-02,Automated,observed,66.5955
2025-07-02,Automated,observed,66.672
2025-08-02,Automated,observed,66.6603
2025-09-02,Automated,observed,66.4874
2025-10-02,Automated,observed,
2025-11-02,Automated,observed,66.312
2025-12-02,Automated,observed,66.285
2026-01-02,Automated,observed,66.2985
2026-02-02,Automated,observed,66.489
2026-03-02,Automated,observed,66.6134
2026-04-02,Automated,observed,66.6934
2026-05-02,Automated,observed,66.7708
2022-11-02,Augmented,observed,18.1105
2022-12-02,Augmented,observed,17.9527
2023-01-02,Augmented,observed,17.6593
2023-02-02,Augmented,observed,17.5801
2023-03-02,Augmented,observed,17.6063
2023-04-02,Augmented,observed,17.6313
2023-05-02,Augmented,observed,17.5879
2023-06-02,Augmented,observed,17.5756
2023-07-02,Augmented,observed,17.6462
2023-08-02,Augmented,observed,17.7301
2023-09-02,Augmented,observed,17.852
2023-10-02,Augmented,observed,17.8793
2023-11-02,Augmented,observed,17.813
2023-12-02,Augmented,observed,17.6722
2024-01-02,Augmented,observed,17.5896
2024-02-02,Augmented,observed,17.671
2024-03-02,Augmented,observed,17.7685
2024-04-02,Augmented,observed,17.8532
2024-05-02,Augmented,observed,17.8904
2024-06-02,Augmented,observed,17.907
2024-07-02,Augmented,observed,18.0093
2024-08-02,Augmented,observed,18.0151
2024-09-02,Augmented,observed,18.1626
2024-10-02,Augmented,observed,18.1841
2024-11-02,Augmented,observed,18.1819
2024-12-02,Augmented,observed,18.0567
2025-01-02,Augmented,observed,18.0814
2025-02-02,Augmented,observed,18.0771
2025-03-02,Augmented,observed,18.1092
2025-04-02,Augmented,observed,18.018
2025-05-02,Augmented,observed,18.0482
2025-06-02,Augmented,observed,17.9835
2025-07-02,Augmented,observed,17.9049
2025-08-02,Augmented,observed,17.8338
2025-09-02,Augmented,observed,17.8501
2025-10-02,Augmented,observed,
2025-11-02,Augmented,observed,18.0715
2025-12-02,Augmented,observed,18.2244
2026-01-02,Augmented,observed,18.1688
2026-02-02,Augmented,observed,18.0287
2026-03-02,Augmented,observed,17.9415
2026-04-02,Augmented,observed,18.0511
2026-05-02,Augmented,observed,18.0849
2022-11-02,Automated,missing-as-zero,1.716
2022-12-02,Automated,missing-as-zero,1.7731
2023-01-02,Automated,missing-as-zero,1.801
2023-02-02,Automated,missing-as-zero,1.7948
2023-03-02,Automated,missing-as-zero,1.7776
2023-04-02,Automated,missing-as-zero,1.7916
2023-05-02,Automated,missing-as-zero,1.7997
2023-06-02,Automated,missing-as-zero,1.7947
2023-07-02,Automated,missing-as-zero,1.8009
2023-08-02,Automated,missing-as-zero,1.8017
2023-09-02,Automated,missing-as-zero,1.7977
2023-10-02,Automated,missing-as-zero,1.7393
2023-11-02,Automated,missing-as-zero,1.7009
2023-12-02,Automated,missing-as-zero,1.6859
2024-01-02,Automated,missing-as-zero,1.7108
2024-02-02,Automated,missing-as-zero,1.7301
2024-03-02,Automated,missing-as-zero,1.7423
2024-04-02,Automated,missing-as-zero,1.7324
2024-05-02,Automated,missing-as-zero,1.7039
2024-06-02,Automated,missing-as-zero,1.6434
2024-07-02,Automated,missing-as-zero,1.5895
2024-08-02,Automated,missing-as-zero,1.5427
2024-09-02,Automated,missing-as-zero,1.5292
2024-10-02,Automated,missing-as-zero,1.5473
2024-11-02,Automated,missing-as-zero,1.5995
2024-12-02,Automated,missing-as-zero,1.6609
2025-01-02,Automated,missing-as-zero,1.6652
2025-02-02,Automated,missing-as-zero,1.6638
2025-03-02,Automated,missing-as-zero,1.6515
2025-04-02,Automated,missing-as-zero,1.6296
2025-05-02,Automated,missing-as-zero,1.6407
2025-06-02,Automated,missing-as-zero,1.6508
2025-07-02,Automated,missing-as-zero,1.6825
2025-08-02,Automated,missing-as-zero,1.6586
2025-09-02,Automated,missing-as-zero,1.63
2025-10-02,Automated,missing-as-zero,
2025-11-02,Automated,missing-as-zero,1.6116
2025-12-02,Automated,missing-as-zero,1.5064
2026-01-02,Automated,missing-as-zero,1.4949
