time,series,value
2022-11-02,<5 Weeks,12.6781
2022-11-02,15-26 Weeks,14.8919
2022-11-02,27+ Weeks,14.7169
2022-11-02,5-14 Weeks,14.2916
2022-12-02,<5 Weeks,12.7547
2022-12-02,15-26 Weeks,14.329
2022-12-02,27+ Weeks,17.2562
2022-12-02,5-14 Weeks,13.2645
2023-01-02,<5 Weeks,12.0238
2023-01-02,15-26 Weeks,14.6097
2023-01-02,27+ Weeks,17.8517
2023-01-02,5-14 Weeks,12.6619
2023-02-02,<5 Weeks,12.4803
2023-02-02,15-26 Weeks,13.5827
2023-02-02,27+ Weeks,19.5661
2023-02-02,5-14 Weeks,11.8164
2023-03-02,<5 Weeks,11.0937
2023-03-02,15-26 Weeks,13.2394
2023-03-02,27+ Weeks,18.161
2023-03-02,5-14 Weeks,12.8344
2023-04-02,<5 Weeks,11.4838
2023-04-02,15-26 Weeks,12.6146
2023-04-02,27+ Weeks,18.7787
2023-04-02,5-14 Weeks,14.077
2023-05-02,<5 Weeks,11.3197
2023-05-02,15-26 Weeks,13.4124
2023-05-02,27+ Weeks,17.2193
2023-05-02,5-14 Weeks,15.1533
2023-06-02,<5 Weeks,11.2304
2023-06-02,15-26 Weeks,14.568
2023-06-02,27+ Weeks,15.9376
2023-06-02,5-14 Weeks,15.8113
2023-07-02,<5 Weeks,10.7722
2023-07-02,15-26 Weeks,15.6817
2023-07-02,27+ Weeks,14.1923
2023-07-02,5-14 Weeks,14.9797
2023-08-02,<5 Weeks,11.356
2023-08-02,15-26 Weeks,18.0648
2023-08-02,27+ Weeks,13.7111
2023-08-02,5-14 Weeks,14.762
2023-09-02,<5 Weeks,12.1478
2023-09-02,15-26 Weeks,19.9278
2023-09-02,27+ Weeks,14.3053
2023-09-02,5-14 Weeks,15.7992
2023-10-02,<5 Weeks,14.1666
2023-10-02,15-26 Weeks,20.2799
2023-10-02,27+ Weeks,14.8098
2023-10-02,5-14 Weeks,16.4227
2023-11-02,<5 Weeks,13.6477
2023-11-02,15-26 Weeks,17.7447
2023-11-02,27+ Weeks,14.8349
2023-11-02,5-14 Weeks,15.7058
2023-12-02,<5 Weeks,13.1791
2023-12-02,15-26 Weeks,17.8563
2023-12-02,27+ Weeks,15.1981
