time,series,value
2022-11-02,<5 Weeks,27.5948
2022-11-02,15-26 Weeks,30.0107
2022-11-02,27+ Weeks,30.2876
2022-11-02,5-14 Weeks,30.0927
2022-12-02,<5 Weeks,27.3491
2022-12-02,15-26 Weeks,29.0809
2022-12-02,27+ Weeks,31.3795
2022-12-02,5-14 Weeks,28.8348
2023-01-02,<5 Weeks,26.1302
2023-01-02,15-26 Weeks,29.0185
2023-01-02,27+ Weeks,32.5377
2023-01-02,5-14 Weeks,28.2687
2023-02-02,<5 Weeks,26.4902
2023-02-02,15-26 Weeks,28.1188
2023-02-02,27+ Weeks,32.6943
2023-02-02,5-14 Weeks,26.9625
2023-03-02,<5 Weeks,25.9725
2023-03-02,15-26 Weeks,27.881
2023-03-02,27+ Weeks,31.7036
2023-03-02,5-14 Weeks,28.0344
2023-04-02,<5 Weeks,26.79
2023-04-02,15-26 Weeks,27.3507
2023-04-02,27+ Weeks,30.4214
2023-04-02,5-14 Weeks,28.7113
2023-05-02,<5 Weeks,27.1772
2023-05-02,15-26 Weeks,28.3829
2023-05-02,27+ Weeks,29.6161
2023-05-02,5-14 Weeks,29.7221
2023-06-02,<5 Weeks,27.9098
2023-06-02,15-26 Weeks,29.8988
2023-06-02,27+ Weeks,28.9277
2023-06-02,5-14 Weeks,30.402
2023-07-02,<5 Weeks,27.6807
2023-07-02,15-26 Weeks,30.9825
2023-07-02,27+ Weeks,28.8408
2023-07-02,5-14 Weeks,31.0388
2023-08-02,<5 Weeks,27.6606
2023-08-02,15-26 Weeks,31.8982
2023-08-02,27+ Weeks,29.6706
2023-08-02,5-14 Weeks,31.0478
2023-09-02,<5 Weeks,26.9667
2023-09-02,15-26 Weeks,32.8308
2023-09-02,27+ Weeks,30.8003
2023-09-02,5-14 Weeks,30.9427
2023-10-02,<5 Weeks,27.6221
2023-10-02,15-26 Weeks,32.6821
2023-10-02,27+ Weeks,31.3326
2023-10-02,5-14 Weeks,30.2386
2023-11-02,<5 Weeks,26.9194
2023-11-02,15-26 Weeks,31.963
2023-11-02,27+ Weeks,31.1253
2023-11-02,5-14 Weeks,29.6127
2023-12-02,<5 Weeks,26.4441
2023-12-02,15-26 Weeks,31.5467
2023-12-02,27+ Weeks,30.9397
2023-12-02,5-14 Weeks,29.7164
2024-01-02,<5 Weeks,25.8086
2024-01-02,15-26 Weeks,31.7449
2024-01-02,27+ Weeks,30.948
2024-01-02,5-14 Weeks,29.2469
2024-02-02,<5 Weeks,26.8467
2024-02-02,15-26 Weeks,31.7829
2024-02-02,27+ Weeks,30.6646
2024-02-02,5-14 Weeks,28.9335
2024-03-02,<5 Weeks,28.2768
2024-03-02,15-26 Weeks,30.8238
2024-03-02,27+ Weeks,30.7123
2024-03-02,5-14 Weeks,28.6483
2024-04-02,<5 Weeks,28.3532
2024-04-02,15-26 Weeks,31.2904
2024-04-02,27+ Weeks,31.0338
2024-04-02,5-14 Weeks,29.3144
2024-05-02,<5 Weeks,27.7264
2024-05-02,15-26 Weeks,30.9399
2024-05-02,27+ Weeks,31.094
2024-05-02,5-14 Weeks,29.8848
2024-06-02,<5 Weeks,27.8172
2024-06-02,15-26 Weeks,30.7377
2024-06-02,27+ Weeks,31.1069
2024-06-02,5-14 Weeks,30.3483
2024-07-02,<5 Weeks,27.8569
2024-07-02,15-26 Weeks,30.6241
2024-07-02,27+ Weeks,31.5283
2024-07-02,5-14 Weeks,30.7217
2024-08-02,<5 Weeks,28.7686
2024-08-02,15-26 Weeks,31.4664
2024-08-02,27+ Weeks,32.2177
2024-08-02,5-14 Weeks,31.1717
2024-09-02,<5 Weeks,28.2607
2024-09-02,15-26 Weeks,32.3689
2024-09-02,27+ Weeks,32.6761
2024-09-02,5-14 Weeks,30.5878
2024-10-02,<5 Weeks,28.0974
2024-10-02,15-26 Weeks,32.6139
2024-10-02,27+ Weeks,32.7204
2024-10-02,5-14 Weeks,29.682
2024-11-02,<5 Weeks,27.738
2024-11-02,15-26 Weeks,32.1905
2024-11-02,27+ Weeks,31.9498
2024-11-02,5-14 Weeks,29.3717
2024-12-02,<5 Weeks,26.4101
2024-12-02,15-26 Weeks,30.6064
2024-12-02,27+ Weeks,31.772
2024-12-02,5-14 Weeks,29.1307
2025-01-02,<5 Weeks,26.2002
2025-01-02,15-26 Weeks,29.1713
2025-01-02,27+ Weeks,30.3075
