time,series,value
2021-01-02,Dissimilarity,32.0135
2021-02-02,Dissimilarity,32.5509
2021-03-02,Dissimilarity,32.335
2021-04-02,Dissimilarity,31.4859
2021-05-02,Dissimilarity,31.2741
2021-06-02,Dissimilarity,33.4893
2021-07-02,Dissimilarity,34.2133
2021-08-02,Dissimilarity,33.2965
2021-09-02,Dissimilarity,32.179
2021-10-02,Dissimilarity,31.0285
2021-11-02,Dissimilarity,31.399
2021-12-02,Dissimilarity,30.9515
2022-01-02,Dissimilarity,31.3227
2022-02-02,Dissimilarity,30.0757
2022-03-02,Dissimilarity,30.8142
2022-04-02,Dissimilarity,30.7724
2022-05-02,Dissimilarity,30.5029
2022-06-02,Dissimilarity,31.1518
2022-07-02,Dissimilarity,30.9388
2022-08-02,Dissimilarity,32.3683
2022-09-02,Dissimilarity,31.7934
2022-10-02,Dissimilarity,30.168
2022-11-02,Dissimilarity,30.3113
2022-12-02,Dissimilarity,30.4515
2023-01-02,Dissimilarity,29.1563
2023-02-02,Dissimilarity,29.1185
2023-03-02,Dissimilarity,29.693
2023-04-02,Dissimilarity,30.9988
2023-05-02,Dissimilarity,30.9084
2023-06-02,Dissimilarity,30.9715
2023-07-02,Dissimilarity,31.2532
2023-08-02,Dissimilarity,32.6803
2023-09-02,Dissimilarity,33.0067
2023-10-02,Dissimilarity,33.242
2023-11-02,Dissimilarity,33.4653
2023-12-02,Dissimilarity,33.6152
2024-01-02,Dissimilarity,33.6417
2024-02-02,Dissimilarity,32.4344
2024-03-02,Dissimilarity,30.7416
2024-04-02,Dissimilarity,30.8045
2024-05-02,Dissimilarity,31.061
2024-06-02,Dissimilarity,32.9999
2024-07-02,Dissimilarity,33.818
2024-08-02,Dissimilarity,33.9884
2024-09-02,Dissimilarity,33.1383
2024-10-02,Dissimilarity,32.3104
2024-11-02,Dissimilarity,30.9918
2024-12-02,Dissimilarity,31.1477
2025-01-02,Dissimilarity,32.3067
2025-02-02,Dissimilarity,32.6796
2025-03-02,Dissimilarity,34.0626
2025-04-02,Dissimilarity,33.9048
2025-05-02,Dissimilarity,32.9771
2025-06-02,Dissimilarity,33.0717
2025-07-02,Dissimilarity,33.3396
2025-08-02,Dissimilarity,32.4866
2025-09-02,Dissimilarity,31.7864
2025-10-02,Dissimilarity,
2025-11-02,Dissimilarity,32.8983
2025-12-02,Dissimilarity,32.8243
2026-01-02,Dissimilarity,30.9617
2026-02-02,Dissimilarity,32.8087
2026-03-02,Dissimilarity,33.9165
2026-04-02,Dissimilarity,35.029
2026-05-02,Dissimilarity,34.3648
