category,value,country_code,substitution
China,3.7023704475831916,chn,Pre-substitution
China,1.9471686604547813,chn,Post-substitution
Canada,1.409428851493896,ca,Pre-substitution
Canada,1.7812249071317523,ca,Post-substitution
Mexico,1.6566746184964223,mx,Pre-substitution
Mexico,1.9293087621240042,mx,Post-substitution
Rest of World,6.397431622623372,row,Pre-substitution
Rest of World,6.4608412941571975,row,Post-substitution
Total,13.165905540196881,total,Pre-substitution
Total,12.118543623867737,total,Post-substitution
