category,group,substitution,value
Metals nec,Commodities,presub,40.97642953203592
Metals nec,Commodities,postsub,17.302820316507873
Leather products,Commodities,presub,39.019985442542456
Leather products,Commodities,postsub,19.305923139948543
Wearing apparel,Commodities,presub,36.6270610924873
Wearing apparel,Commodities,postsub,17.964478715200944
Crops nec,Commodities,presub,31.477325284558745
Crops nec,Commodities,postsub,15.09124977841048
Electrical equipment,Commodities,presub,26.42492520216001
Electrical equipment,Commodities,postsub,12.54431813412619
Ferrous metals,Commodities,presub,21.80474485831082
Ferrous metals,Commodities,postsub,10.305556154986615
Textiles,Commodities,presub,21.297720831567183
Textiles,Commodities,postsub,10.523087683324064
"Computer, electronic and optical",Commodities,presub,16.97864990084844
"Computer, electronic and optical",Commodities,postsub,7.704241628617963
Mineral products nec,Commodities,presub,14.684580840543102
Mineral products nec,Commodities,postsub,7.251050944581612
Machinery and equipment nec,Commodities,presub,14.183192807239651
Machinery and equipment nec,Commodities,postsub,8.465601977799032
Motor vehicles and parts,Commodities,presub,12.38118940777386
Motor vehicles and parts,Commodities,postsub,9.38104715955246
Metal products,Commodities,presub,12.148404008062183
Metal products,Commodities,postsub,6.861306956310351
Rubber and plastic products,Commodities,presub,11.930734714757445
Rubber and plastic products,Commodities,postsub,6.235903812340187
Manufactures nec,Commodities,presub,11.049679625868633
Manufactures nec,Commodities,postsub,5.764585500942382
Transport equipment nec,Commodities,presub,10.830507851957284
Transport equipment nec,Commodities,postsub,6.43530771331618
Fishing,Commodities,presub,10.195223556481015
Fishing,Commodities,postsub,6.290286694424548
Wood products,Commodities,presub,7.442658371035115
Wood products,Commodities,postsub,4.305311498345333
Processed rice,Commodities,presub,6.388043913603623
Processed rice,Commodities,postsub,11.166618454655683
"Vegetables, fruit, nuts",Commodities,presub,5.960168006435254
"Vegetables, fruit, nuts",Commodities,postsub,3.4623768260377195
Chemical products,Commodities,presub,5.6290203067621425
Chemical products,Commodities,postsub,3.8521208143089813
"Paper products, publishing",Commodities,presub,5.419565187451367
"Paper products, publishing",Commodities,postsub,3.8521208143089813
Vegetable oils and fats,Commodities,presub,4.560514657846335
Vegetable oils and fats,Commodities,postsub,2.3656553706697507
Food products nec,Commodities,presub,4.037076244747123
Food products nec,Commodities,postsub,3.1360795335315474
Beverages and tobacco products,Commodities,presub,3.204042837769678
Beverages and tobacco products,Commodities,postsub,3.725227422778804
