category,value,dimension,category_code,group
Agriculture,-0.30961460550447945,sector,agriculture,Sectors
Mining & Extraction,-1.5563756320439814,sector,mining_and_extraction,Sectors
Total Manufacturing,2.474300313340777,sector,total_manufacturing,Sectors
Durable Manufacturing,4.502420121213722,sector,durable_manufacturing,Manufacturing detail
Advanced Manufacturing,-3.29,sector,advanced_manufacturing,Manufacturing detail
Nondurable Manufacturing,1.641261406471437,sector,nondurable_manufacturing,Manufacturing detail
Utilities,0.852598658699456,sector,utilities,Sectors
Construction,-3.75,sector,construction,Sectors
Services,-0.193857136571296,sector,services,Sectors
Overall Real GDP,-0.42,sector,overall_real_gdp,Sectors
USA,-0.42,country,usa,Trading partners
China,-0.27,country,china,Trading partners
ROW,0.01,country,row,Trading partners
Canada,-0.08,country,canada,Trading partners
Mexico,0.14,country,mexico,Trading partners
FTROW,0.04,country,ftrow,Trading partners
Japan,0.0,country,japan,Trading partners
EU,0.05,country,eu,Trading partners
UK,0.16,country,uk,Trading partners
World Total,-0.1218579091419536,country,world_total,Trading partners
World ex USA,-0.028576712410588456,country,world_ex_usa,Trading partners
