category,series,value,scenario,measure
2026,conventional,113.47247525918442,ieepa_invalidation,level
2027,conventional,113.44881776004136,ieepa_invalidation,level
2028,conventional,117.72827528246013,ieepa_invalidation,level
2029,conventional,121.63798845961465,ieepa_invalidation,level
2030,conventional,125.7849008094012,ieepa_invalidation,level
2031,conventional,130.6986994015964,ieepa_invalidation,level
2032,conventional,135.9025177871757,ieepa_invalidation,level
2033,conventional,141.1860607246351,ieepa_invalidation,level
2034,conventional,146.60116159322257,ieepa_invalidation,level
2035,conventional,151.93752515143393,ieepa_invalidation,level
2026-35,conventional,1298.3984222287654,ieepa_invalidation,level
2026,dynamic,92.82947525918442,ieepa_invalidation,level
2027,dynamic,90.62181776004137,ieepa_invalidation,level
2028,dynamic,89.93327528246013,ieepa_invalidation,level
2029,dynamic,95.35698845961466,ieepa_invalidation,level
2030,dynamic,102.01090080940119,ieepa_invalidation,level
2031,dynamic,109.6046994015964,ieepa_invalidation,level
2032,dynamic,114.6245177871757,ieepa_invalidation,level
2033,dynamic,118.6100607246351,ieepa_invalidation,level
2034,dynamic,122.68816159322257,ieepa_invalidation,level
2035,dynamic,126.56752515143393,ieepa_invalidation,level
2026-35,dynamic,1062.8474222287655,ieepa_invalidation,level
2026,difference,-20.643,ieepa_invalidation,level
2027,difference,-22.827,ieepa_invalidation,level
2028,difference,-27.795,ieepa_invalidation,level
2029,difference,-26.281,ieepa_invalidation,level
2030,difference,-23.774,ieepa_invalidation,level
2031,difference,-21.094,ieepa_invalidation,level
2032,difference,-21.278,ieepa_invalidation,level
2033,difference,-22.576,ieepa_invalidation,level
2034,difference,-23.913,ieepa_invalidation,level
2035,difference,-25.37,ieepa_invalidation,level
2026-35,difference,-235.551,ieepa_invalidation,level
