category,group,substitution,value
Leather products,Commodities,presub,22.71
Leather products,Commodities,postsub,6.74
Wearing apparel,Commodities,presub,21.31
Wearing apparel,Commodities,postsub,6.42
Electrical equipment,Commodities,presub,18.73
Electrical equipment,Commodities,postsub,5.67
Metal products,Commodities,presub,18.53
Metal products,Commodities,postsub,5.05
"Computer, electronic and optic",Commodities,presub,17.68
"Computer, electronic and optic",Commodities,postsub,5.34
Metals nec,Commodities,presub,17.1
Metals nec,Commodities,postsub,5.26
Textiles,Commodities,presub,14.15
Textiles,Commodities,postsub,4.49
Motor vehicles and parts,Commodities,presub,12.49
Motor vehicles and parts,Commodities,postsub,5.17
Machinery and equipment nec,Commodities,presub,12.0
Machinery and equipment nec,Commodities,postsub,4.34
Transport equipment nec,Commodities,presub,10.35
Transport equipment nec,Commodities,postsub,3.86
Mineral products nec,Commodities,presub,8.45
Mineral products nec,Commodities,postsub,2.76
Ferrous metals,Commodities,presub,8.43
Ferrous metals,Commodities,postsub,3.39
Manufactures nec,Commodities,presub,8.16
Manufactures nec,Commodities,postsub,2.84
Rubber and plastic products,Commodities,presub,8.06
Rubber and plastic products,Commodities,postsub,2.86
Crops nec,Commodities,presub,4.99
Crops nec,Commodities,postsub,1.72
Processed rice,Commodities,presub,4.05
Processed rice,Commodities,postsub,3.47
Wood products,Commodities,presub,3.36
Wood products,Commodities,postsub,1.75
Fishing,Commodities,presub,2.83
Fishing,Commodities,postsub,1.73
Chemical products,Commodities,presub,2.51
Chemical products,Commodities,postsub,1.46
Beverages and tobacco products,Commodities,presub,2.24
Beverages and tobacco products,Commodities,postsub,1.67
Vegetable oils and fats,Commodities,presub,2.16
Vegetable oils and fats,Commodities,postsub,1.07
Food products nec,Commodities,presub,1.69
Food products nec,Commodities,postsub,1.22
"Paper products, publishing",Commodities,presub,1.49
"Paper products, publishing",Commodities,postsub,1.27
Minerals nec,Commodities,presub,1.32
Minerals nec,Commodities,postsub,0.55
Paddy rice,Commodities,presub,1.3
Paddy rice,Commodities,postsub,0.73
"Vegetables, fruit, nuts",Commodities,presub,1.29
"Vegetables, fruit, nuts",Commodities,postsub,0.76
Forestry,Commodities,presub,1.1
Forestry,Commodities,postsub,0.84
Sugar,Commodities,presub,1.09
Sugar,Commodities,postsub,1.09
Animal products nec,Commodities,presub,0.89
Animal products nec,Commodities,postsub,0.66
Cereal grains nec,Commodities,presub,0.8
Cereal grains nec,Commodities,postsub,0.84
Oil,Commodities,presub,0.61
Oil,Commodities,postsub,0.17
Dairy products,Commodities,presub,0.44
Dairy products,Commodities,postsub,0.95
Basic pharmaceutical products,Commodities,presub,0.42
Basic pharmaceutical products,Commodities,postsub,0.46
Meat products nec,Commodities,presub,0.27
Meat products nec,Commodities,postsub,0.68
"Petroleum, coal products",Commodities,presub,0.23
"Petroleum, coal products",Commodities,postsub,0.26
Oil seeds,Commodities,presub,0.22
Oil seeds,Commodities,postsub,0.2
"Wool, silk-worm cocoons",Commodities,presub,0.18
"Wool, silk-worm cocoons",Commodities,postsub,3.14
Bovine meat products,Commodities,presub,0.12
Bovine meat products,Commodities,postsub,0.63
Plant-based fibers,Commodities,presub,0.08
Plant-based fibers,Commodities,postsub,0.57
Gas,Commodities,presub,0.07
Gas,Commodities,postsub,0.37
"Bovine cattle, sheep and goats",Commodities,presub,0.04
"Bovine cattle, sheep and goats",Commodities,postsub,0.47
"Sugar cane, sugar beet",Commodities,presub,0.01
"Sugar cane, sugar beet",Commodities,postsub,0.1
Wheat,Commodities,presub,0.0
Wheat,Commodities,postsub,0.56
Raw milk,Commodities,presub,0.0
Raw milk,Commodities,postsub,0.74
Coal,Commodities,presub,0.0
Coal,Commodities,postsub,0.25
Electricity,Commodities,presub,0.0
Electricity,Commodities,postsub,0.54
"Gas manufacture, distribution",Commodities,presub,0.0
"Gas manufacture, distribution",Commodities,postsub,0.59
Water,Commodities,presub,0.0
Water,Commodities,postsub,0.86
Construction,Commodities,presub,0.0
Construction,Commodities,postsub,0.97
Trade,Commodities,presub,0.0
Trade,Commodities,postsub,0.65
"Accommodation, Food and servic",Commodities,presub,0.0
"Accommodation, Food and servic",Commodities,postsub,0.61
Transport nec,Commodities,presub,0.0
Transport nec,Commodities,postsub,0.62
Water transport,Commodities,presub,0.0
Water transport,Commodities,postsub,0.61
Air transport,Commodities,presub,0.0
Air transport,Commodities,postsub,0.4
Warehousing and support activi,Commodities,presub,0.0
Warehousing and support activi,Commodities,postsub,0.81
Communication,Commodities,presub,0.0
Communication,Commodities,postsub,0.7
Financial services nec,Commodities,presub,0.0
Financial services nec,Commodities,postsub,0.55
Insurance,Commodities,presub,0.0
Insurance,Commodities,postsub,0.51
Real estate activities,Commodities,presub,0.0
Real estate activities,Commodities,postsub,0.59
Business services nec,Commodities,presub,0.0
Business services nec,Commodities,postsub,0.65
Recreational and other services,Commodities,presub,0.0
Recreational and other services,Commodities,postsub,0.65
Public Administration and defe,Commodities,presub,0.0
Public Administration and defe,Commodities,postsub,0.69
Education,Commodities,presub,0.0
Education,Commodities,postsub,0.58
Human health and social work a,Commodities,presub,0.0
Human health and social work a,Commodities,postsub,0.68
Dwellings,Commodities,presub,0.0
Dwellings,Commodities,postsub,0.54
