category,group,substitution,value
Motor vehicles and parts,Durable goods,presub,4.648898691009069
Motor vehicles and parts,Durable goods,postsub,3.932989541413458
Clothing and footwear,Nondurable goods,presub,7.469447309320957
Clothing and footwear,Nondurable goods,postsub,5.725206120367498
Furnishings and durable household equipment,Durable goods,presub,3.210745428992574
Furnishings and durable household equipment,Durable goods,postsub,2.511046796157386
Recreational goods and vehicles,Durable goods,presub,2.364154303985487
Recreational goods and vehicles,Durable goods,postsub,2.05838705455357
Other durable goods,Durable goods,presub,3.332165936452423
Other durable goods,Durable goods,postsub,2.72828121042115
Other nondurable goods,Nondurable goods,presub,1.729898997653489
Other nondurable goods,Nondurable goods,postsub,1.245811096088066
Net foreign travel,Services,presub,1.085209060843833
Net foreign travel,Services,postsub,0.9328388624004565
Transportation services,Services,presub,0.8189340206352498
Transportation services,Services,postsub,0.7676957985537114
Communication,Services,presub,0.5663619588457908
Communication,Services,postsub,0.5069081410427635
Food and beverages purchased for off-premises consumption,Nondurable goods,presub,1.038646491382373
Food and beverages purchased for off-premises consumption,Nondurable goods,postsub,0.8872563159775289
Household utilities,Services,presub,0.4342706306274443
Household utilities,Services,postsub,0.3895584584220786
Gasoline and other energy goods,Nondurable goods,presub,0.4130177281420963
Gasoline and other energy goods,Nondurable goods,postsub,0.365342070031825
Other services,Services,presub,0.4610714604118582
Other services,Services,postsub,0.4037985408721138
Final consumption expenditures of NPISH,Services,presub,0.4343208914171576
Final consumption expenditures of NPISH,Services,postsub,0.386722020358721
Recreation services,Services,presub,0.4498677688061272
Recreation services,Services,postsub,0.3948422900266301
Food services and accommodations,Services,presub,0.5035522372722236
Food services and accommodations,Services,postsub,0.4410986124503903
Health care,Services,presub,0.435504823877678
Health care,Services,postsub,0.3738556327878478
Education,Services,presub,0.2978394400817747
Education,Services,postsub,0.2656900992642067
Financial services and insurance,Services,presub,0.1277873277106232
Financial services and insurance,Services,postsub,0.1151047710855469
Housing,Services,presub,0.06769994278384277
Housing,Services,postsub,0.06010594498900571
