category,series,value
2026,conventional,64.71141696420432
2027,conventional,135.7680877039172
2028,conventional,183.9452222133281
2029,conventional,190.0467585794858
2030,conventional,196.5100014689951
2031,conventional,204.1821965070086
2032,conventional,212.2983263745529
2033,conventional,220.5461195558198
2034,conventional,228.9911626480803
2035,conventional,237.3211841355262
2026,dynamic,49.41241696420432
2027,dynamic,124.9130877039172
2028,dynamic,174.5392222133281
2029,dynamic,176.8237585794857
2030,dynamic,181.1190014689951
2031,dynamic,187.6391965070086
2032,dynamic,194.6123263745529
2033,dynamic,201.6951195558198
2034,dynamic,208.9461626480802
2035,dynamic,216.0001841355262
2026,difference,-15.299
2027,difference,-10.855
2028,difference,-9.406
2029,difference,-13.223
2030,difference,-15.391
2031,difference,-16.543
2032,difference,-17.686
2033,difference,-18.851
2034,difference,-20.045
2035,difference,-21.321
2026-35,conventional,1874.320476150918
2026-35,dynamic,1715.700476150918
2026-35,difference,-158.62
