category,series,value,unit,metric
Tariff rate,Average statutory rate,9.409892863643543,pct,etr_statutory_level
Tariff rate,"Effective rate, pre-substitution",7.956546740829079,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",6.581220876749034,pct,etr_postsub_level
Consumer price increase,Pre-substitution,0.3763270462082268,pct,price_presub
Consumer price increase,Post-substitution,0.32181686585678587,pct,price_postsub
Household cost,Pre-substitution,509.6863475092288,usd,hh_cost_presub
Household cost,Post-substitution,435.8593531293923,usd,hh_cost_postsub
Real GDP,2025 Q4/Q4,-0.2822029900849343,pp,gdp_2025_q4q4
Real GDP,2026 Q4/Q4,0.28258836690926437,pp,gdp_2026_q4q4
Real GDP,Long-run,-0.07222997397184372,pct,gdp_long_run
Revenue (10-year),Conventional,1210.5982618744554,usd_bn,revenue_conventional
Revenue (10-year),Dynamic,1141.706261874455,usd_bn,revenue_dynamic
