category,series,value,unit,metric,scenario,measure
Tariff rate,Average statutory rate,11.814595478226506,pct,etr_statutory_level,tracker_actual_2026-08-11,level
Tariff rate,"Effective rate, pre-substitution",10.880262267573835,pct,etr_presub_level,tracker_actual_2026-08-11,level
Tariff rate,"Effective rate, post-substitution",9.004700009138453,pct,etr_postsub_level,tracker_actual_2026-08-11,level
Consumer price increase,Pre-substitution,0.7948890515653713,pct,price_presub,tracker_actual_2026-08-11,level
Consumer price increase,Post-substitution,0.667877234518191,pct,price_postsub,tracker_actual_2026-08-11,level
Household cost,Pre-substitution,1076.574488731425,usd,hh_cost_presub,tracker_actual_2026-08-11,level
Household cost,Post-substitution,904.5533975726772,usd,hh_cost_postsub,tracker_actual_2026-08-11,level
Real GDP,2025 Q4/Q4,-0.2941334786706329,pp,gdp_2025_q4q4,tracker_actual_2026-08-11,level
Real GDP,2026 Q4/Q4,0.2148852467972029,pp,gdp_2026_q4q4,tracker_actual_2026-08-11,level
Real GDP,Long-run,-0.14329010248184204,pct,gdp_long_run,tracker_actual_2026-08-11,level
Tariff rate,Average statutory rate,9.07333201782184,pct,etr_statutory_level,tracker_no_fl_301_2026-08-11,level
Tariff rate,"Effective rate, pre-substitution",8.306788075356707,pct,etr_presub_level,tracker_no_fl_301_2026-08-11,level
Tariff rate,"Effective rate, post-substitution",6.839620446176728,pct,etr_postsub_level,tracker_no_fl_301_2026-08-11,level
Consumer price increase,Pre-substitution,0.4204859033252426,pct,price_presub,tracker_no_fl_301_2026-08-11,level
Consumer price increase,Post-substitution,0.35521213073581037,pct,price_postsub,tracker_no_fl_301_2026-08-11,level
Household cost,Pre-substitution,569.4938123750418,usd,hh_cost_presub,tracker_no_fl_301_2026-08-11,level
Household cost,Post-substitution,481.0889233975766,usd,hh_cost_postsub,tracker_no_fl_301_2026-08-11,level
Real GDP,2025 Q4/Q4,-0.28017987340174244,pp,gdp_2025_q4q4,tracker_no_fl_301_2026-08-11,level
Real GDP,2026 Q4/Q4,0.2737128277096712,pp,gdp_2026_q4q4,tracker_no_fl_301_2026-08-11,level
Real GDP,Long-run,-0.07500581443309784,pct,gdp_long_run,tracker_no_fl_301_2026-08-11,level
Tariff rate,Average statutory rate,11.728360145979376,pct,etr_statutory_level,tracker_no_polysilicon_2026-08-11,level
Tariff rate,"Effective rate, pre-substitution",10.801086303006164,pct,etr_presub_level,tracker_no_polysilicon_2026-08-11,level
Tariff rate,"Effective rate, post-substitution",8.898954783880237,pct,etr_postsub_level,tracker_no_polysilicon_2026-08-11,level
Consumer price increase,Pre-substitution,0.7901558335166923,pct,price_presub,tracker_no_polysilicon_2026-08-11,level
Consumer price increase,Post-substitution,0.6641051309873282,pct,price_postsub,tracker_no_polysilicon_2026-08-11,level
Household cost,Pre-substitution,1070.1639566065005,usd,hh_cost_presub,tracker_no_polysilicon_2026-08-11,level
Household cost,Post-substitution,899.4445708475091,usd,hh_cost_postsub,tracker_no_polysilicon_2026-08-11,level
Real GDP,2025 Q4/Q4,-0.2941010947688727,pp,gdp_2025_q4q4,tracker_no_polysilicon_2026-08-11,level
Real GDP,2026 Q4/Q4,0.21598086891279067,pp,gdp_2026_q4q4,tracker_no_polysilicon_2026-08-11,level
Real GDP,Long-run,-0.14337372779846191,pct,gdp_long_run,tracker_no_polysilicon_2026-08-11,level
Tariff rate,Average statutory rate,-2.7412634604046655,pct,etr_statutory_level,tracker_no_fl_301_2026-08-11,delta_vs_default
Tariff rate,"Effective rate, pre-substitution",-2.5734741922171285,pct,etr_presub_level,tracker_no_fl_301_2026-08-11,delta_vs_default
Tariff rate,"Effective rate, post-substitution",-2.1650795629617257,pct,etr_postsub_level,tracker_no_fl_301_2026-08-11,delta_vs_default
Consumer price increase,Pre-substitution,-0.37440314824012866,pct,price_presub,tracker_no_fl_301_2026-08-11,delta_vs_default
Consumer price increase,Post-substitution,-0.31266510378238066,pct,price_postsub,tracker_no_fl_301_2026-08-11,delta_vs_default
Household cost,Pre-substitution,-507.08067635638315,usd,hh_cost_presub,tracker_no_fl_301_2026-08-11,delta_vs_default
Household cost,Post-substitution,-423.46447417510063,usd,hh_cost_postsub,tracker_no_fl_301_2026-08-11,delta_vs_default
Real GDP,2025 Q4/Q4,0.013953605268890446,pp,gdp_2025_q4q4,tracker_no_fl_301_2026-08-11,delta_vs_default
Real GDP,2026 Q4/Q4,0.058827580912468314,pp,gdp_2026_q4q4,tracker_no_fl_301_2026-08-11,delta_vs_default
