category,value,substitution,scenario,measure,basis
1,-1.5738082585651674,presub,tracker_actual_2026-07-24,level,% of after-tax income
2,-0.9713391856675584,presub,tracker_actual_2026-07-24,level,% of after-tax income
3,-0.9374598401332364,presub,tracker_actual_2026-07-24,level,% of after-tax income
4,-0.8324218629314931,presub,tracker_actual_2026-07-24,level,% of after-tax income
5,-0.8528334176625761,presub,tracker_actual_2026-07-24,level,% of after-tax income
6,-0.8405746541546846,presub,tracker_actual_2026-07-24,level,% of after-tax income
7,-0.8009731050138221,presub,tracker_actual_2026-07-24,level,% of after-tax income
8,-0.7720584334461627,presub,tracker_actual_2026-07-24,level,% of after-tax income
9,-0.7081320142875206,presub,tracker_actual_2026-07-24,level,% of after-tax income
10,-0.49806328753476864,presub,tracker_actual_2026-07-24,level,% of after-tax income
Total,-0.7240069118667637,presub,tracker_actual_2026-07-24,level,% of after-tax income
1,-1.3237622754626814,postsub,tracker_actual_2026-07-24,level,% of after-tax income
2,-0.8170132312290902,postsub,tracker_actual_2026-07-24,level,% of after-tax income
3,-0.7885166216252062,postsub,tracker_actual_2026-07-24,level,% of after-tax income
4,-0.7001670333231699,postsub,tracker_actual_2026-07-24,level,% of after-tax income
5,-0.7173356089673105,postsub,tracker_actual_2026-07-24,level,% of after-tax income
6,-0.7070245125632544,postsub,tracker_actual_2026-07-24,level,% of after-tax income
7,-0.6737148406148119,postsub,tracker_actual_2026-07-24,level,% of after-tax income
8,-0.6493941197008443,postsub,tracker_actual_2026-07-24,level,% of after-tax income
9,-0.5956243026808369,postsub,tracker_actual_2026-07-24,level,% of after-tax income
10,-0.4189312054014414,postsub,tracker_actual_2026-07-24,level,% of after-tax income
Total,-0.6089770033213806,postsub,tracker_actual_2026-07-24,level,% of after-tax income
1,-0.8319180958513358,presub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
2,-0.5134517762049741,presub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
3,-0.4955430884901831,presub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
4,-0.4400198101554913,presub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
5,-0.45080939754825855,presub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
6,-0.4443293913979067,presub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
7,-0.4233959357658557,presub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
8,-0.40811158433243233,presub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
9,-0.37431995526223216,presub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
10,-0.26327721914303565,presub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
Total,-0.3827114568915344,presub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
1,-0.7036561050688362,postsub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
2,-0.43428972008998246,postsub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
3,-0.4191421262257232,postsub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
4,-0.37217921729457304,postsub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
5,-0.38130530684347885,postsub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
6,-0.3758243635735616,postsub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
7,-0.3581183490883177,postsub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
8,-0.3451904812467846,postsub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
9,-0.316608717952965,postsub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
10,-0.22268613160285003,postsub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
Total,-0.3237064495464954,postsub,tracker_no_fl_301_2026-07-24,level,% of after-tax income
1,-1.610901732784732,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
2,-0.9942329180176868,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
3,-0.959555061849484,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
4,-0.8520414187092737,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
5,-0.8729340583978652,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
6,-0.8603863650755134,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
7,-0.8198514372755183,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
8,-0.7902552686966919,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
9,-0.7248221520302021,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
10,-0.5098022637507948,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
Total,-0.7410712089779001,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
1,-1.395408837390802,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
2,-0.8612327940255066,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
3,-0.8311938500141756,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
4,-0.738062478481919,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
5,-0.7561602764199006,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
6,-0.7452911080562836,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
7,-0.7101786022317773,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
8,-0.6845415603518794,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
9,-0.6278615361168787,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
10,-0.4416052014109786,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
Total,-0.6419369307872216,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
1,0.7418901627138316,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
2,0.4578874094625843,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
3,0.4419167516430533,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
4,0.3924020527760018,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
5,0.4020240201143176,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
6,0.39624526275677785,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
7,0.3775771692479664,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
8,0.3639468491137303,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
9,0.33381205902528843,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
10,0.234786068391733,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
Total,0.3412954549752293,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
1,0.6201061703938452,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
2,0.38272351113910774,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
3,0.36937449539948297,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
4,0.32798781602859683,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
5,0.33603030212383167,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
6,0.3312001489896928,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
7,0.3155964915264942,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
8,0.3042036384540597,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
9,0.27901558472787186,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
10,0.19624507379859138,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
