category,value,country_code,substitution,scenario,measure
China,27.219863010626675,chn,presub,tracker_actual_2026-08-24,level
China,24.66530105843949,chn,postsub,tracker_actual_2026-08-24,level
Canada,7.829554059871269,ca,presub,tracker_actual_2026-08-24,level
Canada,4.710202664573467,ca,postsub,tracker_actual_2026-08-24,level
Mexico,6.887469196139675,mx,presub,tracker_actual_2026-08-24,level
Mexico,4.643364436959823,mx,postsub,tracker_actual_2026-08-24,level
UK,7.059425558930235,uk,presub,tracker_actual_2026-08-24,level
UK,6.20660413605281,uk,postsub,tracker_actual_2026-08-24,level
Japan,13.14039122623581,jp,presub,tracker_actual_2026-08-24,level
Japan,12.707134638018935,jp,postsub,tracker_actual_2026-08-24,level
EU,8.193963585857915,eu,presub,tracker_actual_2026-08-24,level
EU,7.032140395297417,eu,postsub,tracker_actual_2026-08-24,level
Rest of World,11.36364477580658,row,presub,tracker_actual_2026-08-24,level
Rest of World,9.908523647830847,row,postsub,tracker_actual_2026-08-24,level
Free-trade partners,11.92542879919018,fta,presub,tracker_actual_2026-08-24,level
Free-trade partners,8.71142964712849,fta,postsub,tracker_actual_2026-08-24,level
Total,10.880262267573835,total,presub,tracker_actual_2026-08-24,level
Total,9.004700009138453,total,postsub,tracker_actual_2026-08-24,level
China,27.219863010626675,chn,presub,tracker_no_s338_2026-08-24,level
China,24.69649278643441,chn,postsub,tracker_no_s338_2026-08-24,level
Canada,5.540735390444641,ca,presub,tracker_no_s338_2026-08-24,level
Canada,3.165062610373852,ca,postsub,tracker_no_s338_2026-08-24,level
Mexico,6.887469196139675,mx,presub,tracker_no_s338_2026-08-24,level
Mexico,4.674738156133256,mx,postsub,tracker_no_s338_2026-08-24,level
UK,7.059425558930235,uk,presub,tracker_no_s338_2026-08-24,level
UK,6.203147906187934,uk,postsub,tracker_no_s338_2026-08-24,level
Japan,13.14039122623581,jp,presub,tracker_no_s338_2026-08-24,level
Japan,12.722443870725217,jp,postsub,tracker_no_s338_2026-08-24,level
EU,8.193963585857915,eu,presub,tracker_no_s338_2026-08-24,level
EU,7.034052814063266,eu,postsub,tracker_no_s338_2026-08-24,level
Rest of World,11.36364477580658,row,presub,tracker_no_s338_2026-08-24,level
Rest of World,9.900869953945213,row,postsub,tracker_no_s338_2026-08-24,level
Free-trade partners,11.92542879919018,fta,presub,tracker_no_s338_2026-08-24,level
Free-trade partners,8.729741094780456,fta,postsub,tracker_no_s338_2026-08-24,level
Total,10.6942401594113,total,presub,tracker_no_s338_2026-08-24,level
Total,8.763378965180841,total,postsub,tracker_no_s338_2026-08-24,level
China,0,chn,presub,tracker_no_s338_2026-08-24,delta_vs_default
China,0.031191727994919205,chn,postsub,tracker_no_s338_2026-08-24,delta_vs_default
Canada,-2.288818669426628,ca,presub,tracker_no_s338_2026-08-24,delta_vs_default
Canada,-1.545140054199615,ca,postsub,tracker_no_s338_2026-08-24,delta_vs_default
Mexico,0,mx,presub,tracker_no_s338_2026-08-24,delta_vs_default
Mexico,0.03137371917343312,mx,postsub,tracker_no_s338_2026-08-24,delta_vs_default
UK,0,uk,presub,tracker_no_s338_2026-08-24,delta_vs_default
UK,-0.00345622986487637,uk,postsub,tracker_no_s338_2026-08-24,delta_vs_default
Japan,0,jp,presub,tracker_no_s338_2026-08-24,delta_vs_default
Japan,0.01530923270628115,jp,postsub,tracker_no_s338_2026-08-24,delta_vs_default
EU,0,eu,presub,tracker_no_s338_2026-08-24,delta_vs_default
EU,0.001912418765848578,eu,postsub,tracker_no_s338_2026-08-24,delta_vs_default
Rest of World,0,row,presub,tracker_no_s338_2026-08-24,delta_vs_default
Rest of World,-0.007653693885634638,row,postsub,tracker_no_s338_2026-08-24,delta_vs_default
Free-trade partners,0,fta,presub,tracker_no_s338_2026-08-24,delta_vs_default
Free-trade partners,0.018311447651965906,fta,postsub,tracker_no_s338_2026-08-24,delta_vs_default
Total,-0.1860221081625344,total,presub,tracker_no_s338_2026-08-24,delta_vs_default
Total,-0.2413210439576119,total,postsub,tracker_no_s338_2026-08-24,delta_vs_default
