category,value,dimension,category_code,scenario,measure,group
Agriculture,-0.269781409087677,sector,agriculture,tracker_actual_2026-07-23,level,Sectors
Mining & Extraction,-1.0363227278726972,sector,mining,tracker_actual_2026-07-23,level,Sectors
Total Manufacturing,1.333510680308859,sector,manufacturing,tracker_actual_2026-07-23,level,Sectors
Durable Manufacturing,2.573443972561738,sector,durable,tracker_actual_2026-07-23,level,Manufacturing detail
Nondurable Manufacturing,0.7095365888552356,sector,nondurable,tracker_actual_2026-07-23,level,Manufacturing detail
Advanced Manufacturing,-1.98,sector,advanced,tracker_actual_2026-07-23,level,Manufacturing detail
Utilities,0.45191496202103704,sector,utilities,tracker_actual_2026-07-23,level,Sectors
Construction,-2.23,sector,construction,tracker_actual_2026-07-23,level,Sectors
Services,-0.07826345636886455,sector,services,tracker_actual_2026-07-23,level,Sectors
Total,-0.1420358568429947,sector,overall_gdp,tracker_actual_2026-07-23,level,Sectors
USA,-0.14,country,usa,tracker_actual_2026-07-23,level,Trading partners
China,-0.11,country,china,tracker_actual_2026-07-23,level,Trading partners
Canada,-0.18,country,canada,tracker_actual_2026-07-23,level,Trading partners
Mexico,0.09,country,mexico,tracker_actual_2026-07-23,level,Trading partners
EU,0.03,country,eu,tracker_actual_2026-07-23,level,Trading partners
UK,0.08,country,uk,tracker_actual_2026-07-23,level,Trading partners
Japan,-0.01,country,japan,tracker_actual_2026-07-23,level,Trading partners
Free-trade partners,0.02,country,fta,tracker_actual_2026-07-23,level,Trading partners
Rest of World,0.01,country,row,tracker_actual_2026-07-23,level,Trading partners
Total,-0.04189197971951053,country,world,tracker_actual_2026-07-23,level,Trading partners
Agriculture,-0.3974729796040985,sector,agriculture,tracker_no_fl_301_2026-07-23,level,Sectors
Mining & Extraction,-0.6934594800099532,sector,mining,tracker_no_fl_301_2026-07-23,level,Sectors
Total Manufacturing,0.9535967177941104,sector,manufacturing,tracker_no_fl_301_2026-07-23,level,Sectors
Durable Manufacturing,1.9024185035551016,sector,durable,tracker_no_fl_301_2026-07-23,level,Manufacturing detail
Nondurable Manufacturing,-0.04842349139204683,sector,nondurable,tracker_no_fl_301_2026-07-23,level,Manufacturing detail
