time,series,value,scenario,measure
2025-03-15,gdp_level,0,tracker_actual_2026-07-01,level
2025-06-15,gdp_level,-0.2432491024278793,tracker_actual_2026-07-01,level
2025-09-15,gdp_level,-0.2834701593872738,tracker_actual_2026-07-01,level
2025-12-15,gdp_level,-0.24145344350785997,tracker_actual_2026-07-01,level
2026-03-15,gdp_level,-0.18626102904602398,tracker_actual_2026-07-01,level
2026-06-15,gdp_level,-0.1671182021823858,tracker_actual_2026-07-01,level
2026-09-15,gdp_level,-0.0755061957897569,tracker_actual_2026-07-01,level
2026-12-15,gdp_level,-0.02738688244146051,tracker_actual_2026-07-01,level
2027-03-15,gdp_level,-0.014579742049494783,tracker_actual_2026-07-01,level
2027-06-15,gdp_level,-0.023096879498992678,tracker_actual_2026-07-01,level
2027-09-15,gdp_level,-0.0348015817976009,tracker_actual_2026-07-01,level
2027-12-15,gdp_level,-0.04879281227628228,tracker_actual_2026-07-01,level
2028-03-15,gdp_level,-0.05911373539706969,tracker_actual_2026-07-01,level
2028-06-15,gdp_level,-0.0655305264832315,tracker_actual_2026-07-01,level
2028-09-15,gdp_level,-0.0688232174246981,tracker_actual_2026-07-01,level
2028-12-15,gdp_level,-0.069956691430182,tracker_actual_2026-07-01,level
2029-03-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2029-06-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2029-09-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2029-12-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2030-03-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2030-06-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2030-09-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2030-12-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2031-03-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2031-06-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2031-09-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2031-12-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2032-03-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2032-06-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2032-09-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2032-12-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2033-03-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2033-06-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2033-09-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2033-12-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2034-03-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2034-06-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2034-09-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2034-12-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2035-03-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2035-06-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2035-09-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2035-12-15,gdp_level,-0.07,tracker_actual_2026-07-01,level
2025-03-15,gdp_level,0,tracker_new_301_2026-07-01,level
2025-06-15,gdp_level,-0.252725810169751,tracker_new_301_2026-07-01,level
2025-09-15,gdp_level,-0.3021399967981238,tracker_new_301_2026-07-01,level
2025-12-15,gdp_level,-0.26821980013965474,tracker_new_301_2026-07-01,level
2026-03-15,gdp_level,-0.22060478620796098,tracker_new_301_2026-07-01,level
2026-06-15,gdp_level,-0.2088240867564943,tracker_new_301_2026-07-01,level
2026-09-15,gdp_level,-0.14423731848420152,tracker_new_301_2026-07-01,level
2026-12-15,gdp_level,-0.09976507217534175,tracker_new_301_2026-07-01,level
2027-03-15,gdp_level,-0.08881022123574982,tracker_new_301_2026-07-01,level
2027-06-15,gdp_level,-0.099770248326081,tracker_new_301_2026-07-01,level
2027-09-15,gdp_level,-0.11243977995018126,tracker_new_301_2026-07-01,level
2027-12-15,gdp_level,-0.12413167965807378,tracker_new_301_2026-07-01,level
2028-03-15,gdp_level,-0.13453324700179756,tracker_new_301_2026-07-01,level
2028-06-15,gdp_level,-0.1421168601090087,tracker_new_301_2026-07-01,level
2028-09-15,gdp_level,-0.14686300562736992,tracker_new_301_2026-07-01,level
2028-12-15,gdp_level,-0.14925409984491342,tracker_new_301_2026-07-01,level
2029-03-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2029-06-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2029-09-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2029-12-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2030-03-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2030-06-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2030-09-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2030-12-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2031-03-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2031-06-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2031-09-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2031-12-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2032-03-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2032-06-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2032-09-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2032-12-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2033-03-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2033-06-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2033-09-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2033-12-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2034-03-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2034-06-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2034-09-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2034-12-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2035-03-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2035-06-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2035-09-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2035-12-15,gdp_level,-0.15,tracker_new_301_2026-07-01,level
2025-03-15,gdp_level,0,tracker_new_301_2026-07-01,delta_vs_default
2025-06-15,gdp_level,-0.009476707741871676,tracker_new_301_2026-07-01,delta_vs_default
2025-09-15,gdp_level,-0.018669837410849988,tracker_new_301_2026-07-01,delta_vs_default
2025-12-15,gdp_level,-0.026766356631794774,tracker_new_301_2026-07-01,delta_vs_default
2026-03-15,gdp_level,-0.034343757161936994,tracker_new_301_2026-07-01,delta_vs_default
2026-06-15,gdp_level,-0.04170588457410851,tracker_new_301_2026-07-01,delta_vs_default
2026-09-15,gdp_level,-0.06873112269444462,tracker_new_301_2026-07-01,delta_vs_default
2026-12-15,gdp_level,-0.07237818973388124,tracker_new_301_2026-07-01,delta_vs_default
2027-03-15,gdp_level,-0.07423047918625503,tracker_new_301_2026-07-01,delta_vs_default
2027-06-15,gdp_level,-0.07667336882708832,tracker_new_301_2026-07-01,delta_vs_default
2027-09-15,gdp_level,-0.07763819815258036,tracker_new_301_2026-07-01,delta_vs_default
2027-12-15,gdp_level,-0.0753388673817915,tracker_new_301_2026-07-01,delta_vs_default
2028-03-15,gdp_level,-0.07541951160472787,tracker_new_301_2026-07-01,delta_vs_default
2028-06-15,gdp_level,-0.0765863336257772,tracker_new_301_2026-07-01,delta_vs_default
2028-09-15,gdp_level,-0.07803978820267182,tracker_new_301_2026-07-01,delta_vs_default
2028-12-15,gdp_level,-0.07929740841473142,tracker_new_301_2026-07-01,delta_vs_default
2029-03-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2029-06-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2029-09-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2029-12-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2030-03-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2030-06-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2030-09-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2030-12-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2031-03-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2031-06-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2031-09-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2031-12-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2032-03-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2032-06-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2032-09-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2032-12-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2033-03-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2033-06-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2033-09-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2033-12-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2034-03-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2034-06-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
2034-09-15,gdp_level,-0.07999999999999999,tracker_new_301_2026-07-01,delta_vs_default
