category,series,value,scenario,measure
2026,conventional,65.76277782802231,tracker_actual_2026-07-01,level
2026,dynamic,53.82677782802231,tracker_actual_2026-07-01,level
2027,conventional,71.0048684098469,tracker_actual_2026-07-01,level
2027,dynamic,68.39486840984691,tracker_actual_2026-07-01,level
2028,conventional,114.20033035484974,tracker_actual_2026-07-01,level
2028,dynamic,112.15333035484974,tracker_actual_2026-07-01,level
2029,conventional,115.11492451392718,tracker_actual_2026-07-01,level
2029,dynamic,109.66892451392718,tracker_actual_2026-07-01,level
2030,conventional,116.05834591413782,tracker_actual_2026-07-01,level
2030,dynamic,109.4143459141378,tracker_actual_2026-07-01,level
2031,conventional,117.50844885100472,tracker_actual_2026-07-01,level
2031,dynamic,110.38144885100472,tracker_actual_2026-07-01,level
2032,conventional,122.17740370649985,tracker_actual_2026-07-01,level
2032,dynamic,114.56540370649984,tracker_actual_2026-07-01,level
2033,conventional,126.92315781312551,tracker_actual_2026-07-01,level
2033,dynamic,118.81715781312552,tracker_actual_2026-07-01,level
2034,conventional,131.78123754205455,tracker_actual_2026-07-01,level
2034,dynamic,123.16923754205456,tracker_actual_2026-07-01,level
2035,conventional,136.57427286703876,tracker_actual_2026-07-01,level
2035,dynamic,127.42127286703877,tracker_actual_2026-07-01,level
Total,conventional,1117.1057678005072,tracker_actual_2026-07-01,level
Total,dynamic,1047.8127678005073,tracker_actual_2026-07-01,level
2026,conventional,74.71076899494255,tracker_new_301_2026-07-01,level
2026,dynamic,61.31576899494256,tracker_new_301_2026-07-01,level
2027,conventional,115.72341959031748,tracker_new_301_2026-07-01,level
2027,dynamic,109.0454195903175,tracker_new_301_2026-07-01,level
2028,conventional,159.26220185302566,tracker_new_301_2026-07-01,level
2028,dynamic,152.46920185302565,tracker_new_301_2026-07-01,level
2029,conventional,160.28916173717838,tracker_new_301_2026-07-01,level
2029,dynamic,149.3031617371784,tracker_new_301_2026-07-01,level
2030,conventional,161.33862799610142,tracker_new_301_2026-07-01,level
2030,dynamic,148.47162799610143,tracker_new_301_2026-07-01,level
2031,conventional,163.07464605828798,tracker_new_301_2026-07-01,level
2031,dynamic,149.24664605828798,tracker_new_301_2026-07-01,level
2032,conventional,169.55267139510835,tracker_new_301_2026-07-01,level
2032,dynamic,154.76467139510834,tracker_new_301_2026-07-01,level
2033,conventional,176.13802053613182,tracker_new_301_2026-07-01,level
2033,dynamic,160.37202053613183,tracker_new_301_2026-07-01,level
2034,conventional,182.87838630136744,tracker_new_301_2026-07-01,level
2034,dynamic,166.11038630136744,tracker_new_301_2026-07-01,level
2035,conventional,189.52932054949477,tracker_new_301_2026-07-01,level
2035,dynamic,171.69132054949478,tracker_new_301_2026-07-01,level
Total,conventional,1552.4972250119558,tracker_new_301_2026-07-01,level
Total,dynamic,1422.790225011956,tracker_new_301_2026-07-01,level
2026,conventional,8.947991166920247,tracker_new_301_2026-07-01,delta_vs_default
2026,dynamic,7.4889911669202505,tracker_new_301_2026-07-01,delta_vs_default
2027,conventional,44.71855118047057,tracker_new_301_2026-07-01,delta_vs_default
2027,dynamic,40.650551180470586,tracker_new_301_2026-07-01,delta_vs_default
2028,conventional,45.06187149817592,tracker_new_301_2026-07-01,delta_vs_default
2028,dynamic,40.31587149817591,tracker_new_301_2026-07-01,delta_vs_default
2029,conventional,45.1742372232512,tracker_new_301_2026-07-01,delta_vs_default
2029,dynamic,39.63423722325123,tracker_new_301_2026-07-01,delta_vs_default
2030,conventional,45.280282081963605,tracker_new_301_2026-07-01,delta_vs_default
2030,dynamic,39.057282081963635,tracker_new_301_2026-07-01,delta_vs_default
2031,conventional,45.56619720728327,tracker_new_301_2026-07-01,delta_vs_default
2031,dynamic,38.86519720728326,tracker_new_301_2026-07-01,delta_vs_default
2032,conventional,47.3752676886085,tracker_new_301_2026-07-01,delta_vs_default
2032,dynamic,40.1992676886085,tracker_new_301_2026-07-01,delta_vs_default
2033,conventional,49.214862723006306,tracker_new_301_2026-07-01,delta_vs_default
2033,dynamic,41.55486272300631,tracker_new_301_2026-07-01,delta_vs_default
2034,conventional,51.09714875931289,tracker_new_301_2026-07-01,delta_vs_default
2034,dynamic,42.94114875931288,tracker_new_301_2026-07-01,delta_vs_default
2035,conventional,52.95504768245601,tracker_new_301_2026-07-01,delta_vs_default
2035,dynamic,44.27004768245601,tracker_new_301_2026-07-01,delta_vs_default
Total,conventional,435.3914572114486,tracker_new_301_2026-07-01,delta_vs_default
Total,dynamic,374.9774572114486,tracker_new_301_2026-07-01,delta_vs_default
