decile,scenario,measure,value
1,Section 122 Expires,% of ATI,-1.338
2,Section 122 Expires,% of ATI,-0.8258
3,Section 122 Expires,% of ATI,-0.797
4,Section 122 Expires,% of ATI,-0.7077
5,Section 122 Expires,% of ATI,-0.725
6,Section 122 Expires,% of ATI,-0.7146
7,Section 122 Expires,% of ATI,-0.681
8,Section 122 Expires,% of ATI,-0.6564
9,Section 122 Expires,% of ATI,-0.602
10,Section 122 Expires,% of ATI,-0.4234
1,Section 122 Expires,2025$,-516.678
2,Section 122 Expires,2025$,-513.1172
3,Section 122 Expires,2025$,-604.5725
4,Section 122 Expires,2025$,-625.6328
5,Section 122 Expires,2025$,-751.7207
6,Section 122 Expires,2025$,-854.1802
7,Section 122 Expires,2025$,-956.6934
8,Section 122 Expires,2025$,-1104.8698
9,Section 122 Expires,2025$,-1284.1362
10,Section 122 Expires,2025$,-2174.9366
1,Section 122 Extended,% of ATI,-2.1062
2,Section 122 Extended,% of ATI,-1.2999
3,Section 122 Extended,% of ATI,-1.2546
4,Section 122 Extended,% of ATI,-1.114
5,Section 122 Extended,% of ATI,-1.1413
6,Section 122 Extended,% of ATI,-1.1249
7,Section 122 Extended,% of ATI,-1.0719
8,Section 122 Extended,% of ATI,-1.0332
9,Section 122 Extended,% of ATI,-0.9477
10,Section 122 Extended,% of ATI,-0.6665
1,Section 122 Extended,2025$,-813.3334
2,Section 122 Extended,2025$,-807.7282
3,Section 122 Extended,2025$,-951.6933
4,Section 122 Extended,2025$,-984.8457
5,Section 122 Extended,2025$,-1183.328
6,Section 122 Extended,2025$,-1344.6157
7,Section 122 Extended,2025$,-1505.9878
8,Section 122 Extended,2025$,-1739.2411
9,Section 122 Extended,2025$,-2021.435
10,Section 122 Extended,2025$,-3423.6966
