time,series,value
2025-03-15,Section 122 Expires,0.0
2025-03-15,Section 122 Extended,0.0
2025-06-15,Section 122 Expires,-0.19
2025-06-15,Section 122 Extended,-0.26
2025-09-15,Section 122 Expires,-0.21
2025-09-15,Section 122 Extended,-0.29
2025-12-15,Section 122 Expires,-0.22
2025-12-15,Section 122 Extended,-0.3
2026-03-15,Section 122 Expires,-0.23
2026-03-15,Section 122 Extended,-0.3
2026-06-15,Section 122 Expires,-0.23
2026-06-15,Section 122 Extended,-0.31
2026-09-15,Section 122 Expires,-0.15
2026-09-15,Section 122 Extended,-0.21
2026-12-15,Section 122 Expires,-0.11
2026-12-15,Section 122 Extended,-0.15
2027-03-15,Section 122 Expires,-0.1
2027-03-15,Section 122 Extended,-0.11
2027-06-15,Section 122 Expires,-0.09
2027-06-15,Section 122 Extended,-0.09
2027-09-15,Section 122 Expires,-0.06
2027-09-15,Section 122 Extended,-0.09
2027-12-15,Section 122 Expires,-0.06
2027-12-15,Section 122 Extended,-0.09
2028-03-15,Section 122 Expires,-0.07
2028-03-15,Section 122 Extended,-0.11
2028-06-15,Section 122 Expires,-0.08
2028-06-15,Section 122 Extended,-0.13
2028-09-15,Section 122 Expires,-0.09
2028-09-15,Section 122 Extended,-0.15
2028-12-15,Section 122 Expires,-0.1
2028-12-15,Section 122 Extended,-0.16
2029-03-15,Section 122 Expires,-0.11
2029-03-15,Section 122 Extended,-0.18
2029-06-15,Section 122 Expires,-0.11
2029-06-15,Section 122 Extended,-0.18
2029-09-15,Section 122 Expires,-0.11
2029-09-15,Section 122 Extended,-0.18
2029-12-15,Section 122 Expires,-0.11
2029-12-15,Section 122 Extended,-0.18
2030-03-15,Section 122 Expires,-0.11
2030-03-15,Section 122 Extended,-0.18
2030-06-15,Section 122 Expires,-0.11
2030-06-15,Section 122 Extended,-0.18
2030-09-15,Section 122 Expires,-0.11
2030-09-15,Section 122 Extended,-0.18
2030-12-15,Section 122 Expires,-0.11
2030-12-15,Section 122 Extended,-0.18
2031-03-15,Section 122 Expires,-0.11
2031-03-15,Section 122 Extended,-0.18
2031-06-15,Section 122 Expires,-0.11
2031-06-15,Section 122 Extended,-0.18
2031-09-15,Section 122 Expires,-0.11
2031-09-15,Section 122 Extended,-0.18
2031-12-15,Section 122 Expires,-0.11
2031-12-15,Section 122 Extended,-0.18
2032-03-15,Section 122 Expires,-0.11
2032-03-15,Section 122 Extended,-0.18
2032-06-15,Section 122 Expires,-0.11
2032-06-15,Section 122 Extended,-0.18
2032-09-15,Section 122 Expires,-0.11
2032-09-15,Section 122 Extended,-0.18
2032-12-15,Section 122 Expires,-0.11
2032-12-15,Section 122 Extended,-0.18
2033-03-15,Section 122 Expires,-0.11
2033-03-15,Section 122 Extended,-0.18
2033-06-15,Section 122 Expires,-0.11
2033-06-15,Section 122 Extended,-0.18
2033-09-15,Section 122 Expires,-0.11
2033-09-15,Section 122 Extended,-0.18
2033-12-15,Section 122 Expires,-0.11
2033-12-15,Section 122 Extended,-0.18
2034-03-15,Section 122 Expires,-0.11
2034-03-15,Section 122 Extended,-0.18
2034-06-15,Section 122 Expires,-0.11
2034-06-15,Section 122 Extended,-0.18
2034-09-15,Section 122 Expires,-0.11
2034-09-15,Section 122 Extended,-0.18
2034-12-15,Section 122 Expires,-0.11
2034-12-15,Section 122 Extended,-0.18
2035-03-15,Section 122 Expires,-0.11
2035-03-15,Section 122 Extended,-0.18
2035-06-15,Section 122 Expires,-0.11
2035-06-15,Section 122 Extended,-0.18
2035-09-15,Section 122 Expires,-0.11
2035-09-15,Section 122 Extended,-0.18
2035-12-15,Section 122 Expires,-0.11
2035-12-15,Section 122 Extended,-0.18
