scenario,metric,year,value
Section 122 Expires,Conventional,2026,46
Section 122 Expires,Conventional,2027,85
Section 122 Expires,Conventional,2028,131
Section 122 Expires,Conventional,2029,135
Section 122 Expires,Conventional,2030,140
Section 122 Expires,Conventional,2031,145
Section 122 Expires,Conventional,2032,151
Section 122 Expires,Conventional,2033,157
Section 122 Expires,Conventional,2034,163
Section 122 Expires,Conventional,2035,169
Section 122 Expires,Conventional,2026-35,1321
Section 122 Expires,Dynamic,2026,35
Section 122 Expires,Dynamic,2027,76
Section 122 Expires,Dynamic,2028,124
Section 122 Expires,Dynamic,2029,127
Section 122 Expires,Dynamic,2030,130
Section 122 Expires,Dynamic,2031,134
Section 122 Expires,Dynamic,2032,139
Section 122 Expires,Dynamic,2033,145
Section 122 Expires,Dynamic,2034,150
Section 122 Expires,Dynamic,2035,155
Section 122 Expires,Dynamic,2026-35,1215
Section 122 Expires,Dynamic effect,2026,-11
Section 122 Expires,Dynamic effect,2027,-9
Section 122 Expires,Dynamic effect,2028,-6
Section 122 Expires,Dynamic effect,2029,-9
Section 122 Expires,Dynamic effect,2030,-10
Section 122 Expires,Dynamic effect,2031,-11
Section 122 Expires,Dynamic effect,2032,-11
Section 122 Expires,Dynamic effect,2033,-12
Section 122 Expires,Dynamic effect,2034,-13
Section 122 Expires,Dynamic effect,2035,-14
Section 122 Expires,Dynamic effect,2026-35,-106
Section 122 Extended,Conventional,2026,65
Section 122 Extended,Conventional,2027,136
Section 122 Extended,Conventional,2028,184
Section 122 Extended,Conventional,2029,190
Section 122 Extended,Conventional,2030,197
Section 122 Extended,Conventional,2031,204
Section 122 Extended,Conventional,2032,212
Section 122 Extended,Conventional,2033,221
Section 122 Extended,Conventional,2034,229
Section 122 Extended,Conventional,2035,237
Section 122 Extended,Conventional,2026-35,1874
Section 122 Extended,Dynamic,2026,49
Section 122 Extended,Dynamic,2027,125
Section 122 Extended,Dynamic,2028,175
Section 122 Extended,Dynamic,2029,177
Section 122 Extended,Dynamic,2030,181
Section 122 Extended,Dynamic,2031,188
Section 122 Extended,Dynamic,2032,195
Section 122 Extended,Dynamic,2033,202
Section 122 Extended,Dynamic,2034,209
Section 122 Extended,Dynamic,2035,216
Section 122 Extended,Dynamic,2026-35,1716
Section 122 Extended,Dynamic effect,2026,-15
Section 122 Extended,Dynamic effect,2027,-11
Section 122 Extended,Dynamic effect,2028,-9
Section 122 Extended,Dynamic effect,2029,-13
Section 122 Extended,Dynamic effect,2030,-15
Section 122 Extended,Dynamic effect,2031,-17
Section 122 Extended,Dynamic effect,2032,-18
Section 122 Extended,Dynamic effect,2033,-19
Section 122 Extended,Dynamic effect,2034,-20
Section 122 Extended,Dynamic effect,2035,-21
Section 122 Extended,Dynamic effect,2026-35,-159
