category,value,group,substitution
Motor vehicles and parts,2.9123204301999204,Durable goods,presub
Motor vehicles and parts,2.4846258862363326,Durable goods,postsub
Furnishings and durable household equipment,1.9941959240521467,Durable goods,presub
Furnishings and durable household equipment,1.521928848619153,Durable goods,postsub
Recreational goods and vehicles,1.1459017954886166,Durable goods,presub
Recreational goods and vehicles,0.9208214483988998,Durable goods,postsub
Net foreign travel,0.6350780150003769,Services,presub
Net foreign travel,0.5085332429720313,Services,postsub
Transportation services,0.4893333709778842,Services,presub
Transportation services,0.4480637975076697,Services,postsub
Other nondurable goods,0.34741908473962035,Nondurable goods,presub
Other nondurable goods,0.2863749270060789,Nondurable goods,postsub
Other durable goods,0.34180770128302423,Durable goods,presub
Other durable goods,0.17710153931515235,Durable goods,postsub
Communication,0.32759210702071945,Services,presub
Communication,0.2757638163211984,Services,postsub
Household utilities,0.25633539983467135,Services,presub
Household utilities,0.22528508367739203,Services,postsub
Recreation services,0.2124518414445251,Services,presub
Recreation services,0.18421967716106505,Services,postsub
Other services,0.20435494308668348,Services,presub
Other services,0.17851148215064477,Services,postsub
Final consumption expenditures of NPISH,0.20094244627788735,Services,presub
Final consumption expenditures of NPISH,0.17779036998936726,Services,postsub
Food and beverages purchased for off-premises consumption,0.19306003107415243,Nondurable goods,presub
Food and beverages purchased for off-premises consumption,0.17215310192473013,Nondurable goods,postsub
Food services and accommodations,0.1669605584252602,Services,presub
Food services and accommodations,0.14670491448583253,Services,postsub
Health care,0.13626456987446223,Services,presub
Health care,0.1185174904187557,Services,postsub
Education,0.13487140312418097,Services,presub
Education,0.11774556524225362,Services,postsub
Gasoline and other energy goods,0.1099187712220066,Nondurable goods,presub
Gasoline and other energy goods,0.1001318825409049,Nondurable goods,postsub
Financial services and insurance,0.06558844076803144,Services,presub
Financial services and insurance,0.05661734106274267,Services,postsub
Housing,0.0372484067050606,Services,presub
Housing,0.03285609131903088,Services,postsub
Clothing and footwear,-0.3632732237009691,Nondurable goods,presub
Clothing and footwear,-0.8635218784022773,Nondurable goods,postsub
Total,0.33444774821782425,Total,presub
Total,0.26362804915298066,Total,postsub
