category,value,dimension,category_code,group
Agriculture,-0.3183723129248521,sector,agriculture,Sectors
Mining & Extraction,-0.6869639198961801,sector,mining,Sectors
Total Manufacturing,0.9475267430009008,sector,manufacturing,Sectors
Durable Manufacturing,1.93555898313163,sector,durable,Manufacturing detail
Nondurable Manufacturing,-0.08743366140102346,sector,nondurable,Manufacturing detail
Advanced Manufacturing,-0.12,sector,advanced,Manufacturing detail
Utilities,0.31817015868360826,sector,utilities,Sectors
Construction,-1.84,sector,construction,Sectors
Services,-0.04229417897862516,sector,services,Sectors
Total,-0.07222997397184372,sector,overall_gdp,Sectors
USA,-0.07,country,usa,Trading partners
China,-0.08,country,china,Trading partners
Canada,-0.12,country,canada,Trading partners
Mexico,0.03,country,mexico,Trading partners
EU,0.03,country,eu,Trading partners
UK,0.05,country,uk,Trading partners
Japan,0,country,japan,Trading partners
Free-trade partners,0.01,country,fta,Trading partners
Rest of World,0,country,row,Trading partners
Total,-0.02345379134793823,country,world,Trading partners
