time,series,value
2025-03-15,gdp_level,0
2025-06-15,gdp_level,-0.2514216078742319
2025-09-15,gdp_level,-0.3015714860834788
2025-12-15,gdp_level,-0.2671145535106094
2026-03-15,gdp_level,-0.2252792657422239
2026-06-15,gdp_level,-0.2236156493533216
2026-09-15,gdp_level,-0.1525132872679471
2026-12-15,gdp_level,-0.10501730212932028
2027-03-15,gdp_level,-0.09175657792853881
2027-06-15,gdp_level,-0.09852608459141846
2027-09-15,gdp_level,-0.10644548085242397
2027-12-15,gdp_level,-0.11629298461392756
2028-03-15,gdp_level,-0.12569287175178417
2028-06-15,gdp_level,-0.13277409532947457
2028-09-15,gdp_level,-0.13727635151049641
2028-12-15,gdp_level,-0.13947789292188673
2029-03-15,gdp_level,-0.14
2029-06-15,gdp_level,-0.14
2029-09-15,gdp_level,-0.14
2029-12-15,gdp_level,-0.14
2030-03-15,gdp_level,-0.14
2030-06-15,gdp_level,-0.14
2030-09-15,gdp_level,-0.14
2030-12-15,gdp_level,-0.14
2031-03-15,gdp_level,-0.14
2031-06-15,gdp_level,-0.14
2031-09-15,gdp_level,-0.14
2031-12-15,gdp_level,-0.14
2032-03-15,gdp_level,-0.14
2032-06-15,gdp_level,-0.14
2032-09-15,gdp_level,-0.14
2032-12-15,gdp_level,-0.14
2033-03-15,gdp_level,-0.14
2033-06-15,gdp_level,-0.14
2033-09-15,gdp_level,-0.14
2033-12-15,gdp_level,-0.14
2034-03-15,gdp_level,-0.14
2034-06-15,gdp_level,-0.14
2034-09-15,gdp_level,-0.14
2034-12-15,gdp_level,-0.14
2035-03-15,gdp_level,-0.14
2035-06-15,gdp_level,-0.14
2035-09-15,gdp_level,-0.14
2035-12-15,gdp_level,-0.14
