category,series,value
USA,Section 122 Expires,-0.11
USA,Section 122 Extended,-0.18
China,Section 122 Expires,-0.08
China,Section 122 Extended,-0.11
ROW,Section 122 Expires,0.0
ROW,Section 122 Extended,0.0
Canada,Section 122 Expires,-0.43
Canada,Section 122 Extended,-0.33
Mexico,Section 122 Expires,-0.14
Mexico,Section 122 Extended,-0.09
FTROW,Section 122 Expires,0.02
FTROW,Section 122 Extended,0.02
Japan,Section 122 Expires,0.01
Japan,Section 122 Extended,0.0
EU,Section 122 Expires,0.03
EU,Section 122 Extended,0.02
UK,Section 122 Expires,0.05
UK,Section 122 Extended,0.05
World Total,Section 122 Expires,-0.0405
World Total,Section 122 Extended,-0.0616
World ex USA,Section 122 Expires,-0.0186
World ex USA,Section 122 Extended,-0.0244
