category,value,country_code,substitution
China,4.52356471333582,chn,Pre-substitution
China,2.0402353393403847,chn,Post-substitution
Canada,2.167864990141185,ca,Pre-substitution
Canada,2.597756713007159,ca,Post-substitution
Mexico,2.2821816390337046,mx,Pre-substitution
Mexico,2.528719212614036,mx,Post-substitution
Rest of World,6.435022131899546,row,Pre-substitution
Rest of World,6.799477331378184,row,Post-substitution
Total,15.408633474410255,total,Pre-substitution
Total,13.966188596339762,total,Post-substitution
