category,value,method,basis
1,-2.7958536902186077,New Method,% of after-tax income
2,-1.4856656021580354,New Method,% of after-tax income
3,-1.7094058000538683,New Method,% of after-tax income
4,-1.5791413636804166,New Method,% of after-tax income
5,-1.69708818748003,New Method,% of after-tax income
6,-1.712494334442853,New Method,% of after-tax income
7,-1.6857782094678357,New Method,% of after-tax income
8,-1.604977115281735,New Method,% of after-tax income
9,-1.4390413834203404,New Method,% of after-tax income
10,-0.8381088322887265,New Method,% of after-tax income
1,,Old Method,% of after-tax income
2,-2.5907655373402605,Old Method,% of after-tax income
3,-2.3446210908246035,Old Method,% of after-tax income
4,-1.9363399572078828,Old Method,% of after-tax income
5,-1.845728904191413,Old Method,% of after-tax income
6,-1.7012659129658512,Old Method,% of after-tax income
7,-1.5882018815810701,Old Method,% of after-tax income
8,-1.477928662108925,Old Method,% of after-tax income
9,-1.392169083646081,Old Method,% of after-tax income
10,-1.0723727589318068,Old Method,% of after-tax income
1,-1051.2689460590987,New Method,2024 dollars
2,-898.8722592736761,New Method,2024 dollars
3,-1262.6184060937887,New Method,2024 dollars
4,-1359.3406772697394,New Method,2024 dollars
5,-1713.2784087885896,New Method,2024 dollars
6,-1993.1207810280032,New Method,2024 dollars
7,-2306.1445905519995,New Method,2024 dollars
8,-2630.6377408025273,New Method,2024 dollars
9,-2988.83139170871,New Method,2024 dollars
10,-4191.734275985483,New Method,2024 dollars
1,,Old Method,2024 dollars
2,-1086.9035373979623,Old Method,2024 dollars
3,-1482.577690865992,Old Method,2024 dollars
4,-1630.4620459669234,Old Method,2024 dollars
5,-1963.3014007649645,Old Method,2024 dollars
6,-2299.4188803483758,Old Method,2024 dollars
7,-2691.969998760789,Old Method,2024 dollars
8,-3096.9340718731924,Old Method,2024 dollars
9,-3790.97884040393,Old Method,2024 dollars
10,-5280.602656413152,Old Method,2024 dollars
