time,series,value
2025-01-01,gdp_level,-0.18944
2025-04-01,gdp_level,-0.42022
2025-07-01,gdp_level,-0.36588
2025-10-01,gdp_level,-0.717
2026-01-01,gdp_level,-0.89631
2026-04-01,gdp_level,-0.91853
2026-07-01,gdp_level,-0.80207
2026-10-01,gdp_level,-0.68307
2027-01-01,gdp_level,-0.6048
2027-04-01,gdp_level,-0.56357
2027-07-01,gdp_level,-0.53477
2027-10-01,gdp_level,-0.49745
2028-01-01,gdp_level,-0.45098
2028-04-01,gdp_level,-0.40141
2028-07-01,gdp_level,-0.38
2028-10-01,gdp_level,-0.38
2029-01-01,gdp_level,-0.38
2029-04-01,gdp_level,-0.38
2029-07-01,gdp_level,-0.38
2029-10-01,gdp_level,-0.38
2030-01-01,gdp_level,-0.38
2030-04-01,gdp_level,-0.38
2030-07-01,gdp_level,-0.38
2030-10-01,gdp_level,-0.38
2031-01-01,gdp_level,-0.38
2031-04-01,gdp_level,-0.38
2031-07-01,gdp_level,-0.38
2031-10-01,gdp_level,-0.38
2032-01-01,gdp_level,-0.38
2032-04-01,gdp_level,-0.38
2032-07-01,gdp_level,-0.38
2032-10-01,gdp_level,-0.38
2033-01-01,gdp_level,-0.38
2033-04-01,gdp_level,-0.38
2033-07-01,gdp_level,-0.38
2033-10-01,gdp_level,-0.38
2034-01-01,gdp_level,-0.38
2034-04-01,gdp_level,-0.38
2034-07-01,gdp_level,-0.38
2034-10-01,gdp_level,-0.38
2035-01-01,gdp_level,-0.38
2035-04-01,gdp_level,-0.38
2035-07-01,gdp_level,-0.38
2035-10-01,gdp_level,-0.38
