category,value,dimension,category_code,group
Agriculture,-0.9610030553531203,sector,agriculture,Sectors
Mining & Extraction,-1.2632883501864312,sector,mining_and_extraction,Sectors
Total Manufacturing,1.9583563136557272,sector,total_manufacturing,Sectors
Durable Manufacturing,3.793302371582549,sector,durable_manufacturing,Manufacturing detail
Advanced Manufacturing,-2.84,sector,advanced_manufacturing,Manufacturing detail
Nondurable Manufacturing,1.0411163762299995,sector,nondurable_manufacturing,Manufacturing detail
Utilities,0.4051774718676372,sector,utilities,Sectors
Construction,-3.53,sector,construction,Sectors
Services,-0.09718366842004222,sector,services,Sectors
Overall Real GDP,-0.4,sector,overall_real_gdp,Sectors
USA,-0.4,country,usa,Trading partners
China,-0.21,country,china,Trading partners
ROW,0.03,country,row,Trading partners
Canada,-2.1,country,canada,Trading partners
Mexico,0.02,country,mexico,Trading partners
FTROW,0.05,country,ftrow,Trading partners
Japan,0.0,country,japan,Trading partners
EU,0.1,country,eu,Trading partners
UK,0.19,country,uk,Trading partners
World Total,-0.1359879204525405,country,world_total,Trading partners
World ex USA,-0.05348039256967141,country,world_ex_usa,Trading partners
