time,series,value
2025-01-01,gdp_level,-0.006790972919434868
2025-04-01,gdp_level,-0.2489142715187742
2025-07-01,gdp_level,-0.5421533257620625
2025-10-01,gdp_level,-0.5172577692754365
2026-01-01,gdp_level,-0.8842598212684516
2026-04-01,gdp_level,-1.0658802813654389
2026-07-01,gdp_level,-1.0856142626315402
2026-10-01,gdp_level,-0.9730036094783734
2027-01-01,gdp_level,-0.8605907416325942
2027-04-01,gdp_level,-0.7828956654532315
2027-07-01,gdp_level,-0.7345023326493783
2027-10-01,gdp_level,-0.6975250132117083
2028-01-01,gdp_level,-0.6522951768414109
2028-04-01,gdp_level,-0.5982071790157195
2028-07-01,gdp_level,-0.5442200062401925
2028-10-01,gdp_level,-0.49855391120803283
2029-01-01,gdp_level,-0.4610786632549213
2029-04-01,gdp_level,-0.4353576087423594
2029-07-01,gdp_level,-0.4150763259972323
2029-10-01,gdp_level,-0.3987998540632476
2030-01-01,gdp_level,-0.3828710589520501
2030-04-01,gdp_level,-0.38
2030-07-01,gdp_level,-0.38
2030-10-01,gdp_level,-0.38
2031-01-01,gdp_level,-0.38
2031-04-01,gdp_level,-0.38
2031-07-01,gdp_level,-0.38
2031-10-01,gdp_level,-0.38
2032-01-01,gdp_level,-0.38
2032-04-01,gdp_level,-0.38
2032-07-01,gdp_level,-0.38
2032-10-01,gdp_level,-0.38
2033-01-01,gdp_level,-0.38
2033-04-01,gdp_level,-0.38
2033-07-01,gdp_level,-0.38
2033-10-01,gdp_level,-0.38
2034-01-01,gdp_level,-0.38
2034-04-01,gdp_level,-0.38
2034-07-01,gdp_level,-0.38
2034-10-01,gdp_level,-0.38
2035-01-01,gdp_level,-0.38
2035-04-01,gdp_level,-0.38
2035-07-01,gdp_level,-0.38
2035-10-01,gdp_level,-0.38
