category,value,substitution,basis
1,-3.4503690673808176,postsub,% of after-tax income
2,-1.8074697611885893,postsub,% of after-tax income
3,-2.0614487996252717,postsub,% of after-tax income
4,-1.9007633853618535,postsub,% of after-tax income
5,-2.0074345283951165,postsub,% of after-tax income
6,-2.0425571214662854,postsub,% of after-tax income
7,-1.9964155880322196,postsub,% of after-tax income
8,-1.9037278945405096,postsub,% of after-tax income
9,-1.6965786496268893,postsub,% of after-tax income
10,-0.9994396326398337,postsub,% of after-tax income
1,-1297.3732730258612,postsub,2025 dollars
2,-1093.5734296119322,postsub,2025 dollars
3,-1522.6479268672147,postsub,2025 dollars
4,-1636.1961297533371,postsub,2025 dollars
5,-2026.585453796006,postsub,2025 dollars
6,-2377.2709569609656,postsub,2025 dollars
7,-2731.096524428076,postsub,2025 dollars
8,-3120.3052055466223,postsub,2025 dollars
9,-3523.725992129064,postsub,2025 dollars
10,-4998.617367477517,postsub,2025 dollars
