category,series,value
2026,conventional,246.7803659089268
2027,conventional,237.09145046148808
2028,conventional,246.03950045088084
2029,conventional,254.21381918815624
2030,conventional,262.8880995514902
2031,conventional,273.15998300910115
2032,conventional,284.04236112878766
2033,conventional,295.08797583851606
2034,conventional,306.41248610226967
2035,conventional,317.56863384801477
2026,dynamic,201.1473659089268
2027,dynamic,177.58645046148808
2028,dynamic,193.76650045088084
2029,dynamic,211.31481918815624
2030,dynamic,223.0140995514902
2031,dynamic,231.63098300910116
2032,dynamic,239.85036112878765
2033,dynamic,248.13797583851607
2034,dynamic,256.6304861022697
2035,dynamic,264.7506338480148
