category,value,substitution,basis
1,-0.5622327283417909,postsub,% of after-tax income
2,-0.3547096566424119,postsub,% of after-tax income
3,-0.5473794347978684,postsub,% of after-tax income
4,-0.4557746176230115,postsub,% of after-tax income
5,-0.7625127831283499,postsub,% of after-tax income
6,-0.6002050317908562,postsub,% of after-tax income
7,-0.645621663012738,postsub,% of after-tax income
8,-0.5527054296326094,postsub,% of after-tax income
9,-0.5304825825994264,postsub,% of after-tax income
10,-0.2096884712401451,postsub,% of after-tax income
1,-211.4051281837968,postsub,2025 dollars
2,-214.6099835583585,postsub,2025 dollars
3,-404.3108719247496,postsub,2025 dollars
4,-392.3353485960645,postsub,2025 dollars
5,-769.7871550793944,postsub,2025 dollars
6,-698.5606303504237,postsub,2025 dollars
7,-883.2104350014256,postsub,2025 dollars
8,-905.9118344393283,postsub,2025 dollars
9,-1101.791104755705,postsub,2025 dollars
10,-1048.740113829886,postsub,2025 dollars
