time,series,value
2025-01-01,gdp_level,-0.006828337282127617
2025-04-01,gdp_level,-0.2485981662921799
2025-07-01,gdp_level,-0.5137494855332436
2025-10-01,gdp_level,-0.5021510495117232
2026-01-01,gdp_level,-0.8469339216968463
2026-04-01,gdp_level,-1.016212303579811
2026-07-01,gdp_level,-0.6933673378898053
2026-10-01,gdp_level,-0.7809377939592244
2027-01-01,gdp_level,-0.5174082258786572
2027-04-01,gdp_level,-0.3362326507483138
2027-07-01,gdp_level,-0.2394639871031168
2027-10-01,gdp_level,-0.2418489185539663
2028-01-01,gdp_level,-0.2483524203990117
2028-04-01,gdp_level,-0.2328273603525721
2028-07-01,gdp_level,-0.2049194191858561
2028-10-01,gdp_level,-0.1736583256920388
2029-01-01,gdp_level,-0.1556980570257993
2029-04-01,gdp_level,-0.1517877318014116
2029-07-01,gdp_level,-0.1550992034317522
2029-10-01,gdp_level,-0.1589631410016779
2030-01-01,gdp_level,-0.1579311034010211
2030-04-01,gdp_level,-0.1518185398460825
2030-07-01,gdp_level,-0.1404167736084649
2030-10-01,gdp_level,-0.1302816086429348
2031-01-01,gdp_level,-0.1180999162810448
2031-04-01,gdp_level,-0.09207403486247712
2031-07-01,gdp_level,-0.09
2031-10-01,gdp_level,-0.09
2032-01-01,gdp_level,-0.09
2032-04-01,gdp_level,-0.09
2032-07-01,gdp_level,-0.09
2032-10-01,gdp_level,-0.09
2033-01-01,gdp_level,-0.09
2033-04-01,gdp_level,-0.09
2033-07-01,gdp_level,-0.09
2033-10-01,gdp_level,-0.09
2034-01-01,gdp_level,-0.09
2034-04-01,gdp_level,-0.09
2034-07-01,gdp_level,-0.09
2034-10-01,gdp_level,-0.09
2035-01-01,gdp_level,-0.09
2035-04-01,gdp_level,-0.09
2035-07-01,gdp_level,-0.09
2035-10-01,gdp_level,-0.09
