category,series,value
2026,conventional,227.60891601888872
2027,conventional,220.13223185605278
2028,conventional,228.43871790934386
2029,conventional,236.0271513798273
2030,conventional,244.0783941417146
2031,conventional,253.61462342022003
2032,conventional,263.7162409305304
2033,conventional,273.9705227918434
2034,conventional,284.4824560637581
2035,conventional,294.8393168654723
2026,dynamic,183.46691601888872
2027,dynamic,162.7352318560528
2028,dynamic,178.07271790934385
2029,dynamic,194.5691513798273
2030,dynamic,204.16539414171461
2031,dynamic,211.58062342022004
2032,dynamic,218.9392409305304
2033,dynamic,226.3565227918434
2034,dynamic,233.9964560637581
2035,dynamic,241.25631686547231
