vintage_date,scenario,row_label_field,row_label,column,value
2025-10-17,Baseline,Name,Metals nec,Short-Run,40.277407622917984
2025-10-17,Baseline,Name,Metals nec,Long-Run,13.999085485356952
2025-10-17,Baseline,Name,Leather products,Short-Run,29.361196011024024
2025-10-17,Baseline,Name,Leather products,Long-Run,10.22933175108583
2025-10-17,Baseline,Name,Wearing apparel,Short-Run,27.839507218495193
2025-10-17,Baseline,Name,Wearing apparel,Long-Run,9.83435755346326
2025-10-17,Baseline,Name,Crops nec,Short-Run,23.27626165850066
2025-10-17,Baseline,Name,Crops nec,Long-Run,8.364453577500779
2025-10-17,Baseline,Name,Electrical equipment,Short-Run,20.67101184193712
2025-10-17,Baseline,Name,Electrical equipment,Long-Run,7.709496363721579
2025-10-17,Baseline,Name,Ferrous metals,Short-Run,19.20971710885722
2025-10-17,Baseline,Name,Ferrous metals,Long-Run,7.274524778997988
2025-10-17,Baseline,Name,Textiles,Short-Run,17.298865302445222
2025-10-17,Baseline,Name,Textiles,Long-Run,6.329586508736393
2025-10-17,Baseline,Name,"Computer, electronic and optical",Short-Run,12.176445643711723
2025-10-17,Baseline,Name,"Computer, electronic and optical",Long-Run,3.844748835085535
2025-10-17,Baseline,Name,Mineral products nec,Short-Run,9.682905515234305
2025-10-17,Baseline,Name,Mineral products nec,Long-Run,3.629762879417552
2025-10-17,Baseline,Name,Motor vehicles and parts,Short-Run,9.413433578902701
2025-10-17,Baseline,Name,Motor vehicles and parts,Long-Run,5.394647585250054
2025-10-17,Baseline,Name,Metal products,Short-Run,9.134809069126533
2025-10-17,Baseline,Name,Metal products,Long-Run,4.494706375477107
2025-10-17,Baseline,Name,Machinery and equipment nec,Short-Run,8.988091607272832
2025-10-17,Baseline,Name,Machinery and equipment nec,Long-Run,4.404712254499812
2025-10-17,Baseline,Name,Rubber and plastic products,Short-Run,8.903571153856198
2025-10-17,Baseline,Name,Rubber and plastic products,Long-Run,3.6247632060299253
2025-10-17,Baseline,Name,Manufactures nec,Short-Run,8.498452721716738
2025-10-17,Baseline,Name,Manufactures nec,Long-Run,3.4947716979516104
2025-10-17,Baseline,Name,Transport equipment nec,Short-Run,7.826198459256815
2025-10-17,Baseline,Name,Transport equipment nec,Long-Run,3.9947390367143587
2025-10-17,Baseline,Name,Processed rice,Short-Run,4.835028231569535
2025-10-17,Baseline,Name,Processed rice,Long-Run,5.914613617563313
2025-10-17,Baseline,Name,Wood products,Short-Run,3.9498933219646633
2025-10-17,Baseline,Name,Wood products,Long-Run,2.279851064758132
2025-10-17,Baseline,Name,Chemical products,Short-Run,3.371841615513993
2025-10-17,Baseline,Name,Chemical products,Long-Run,2.014868375213876
2025-10-17,Baseline,Name,"Vegetables, fruit, nuts",Short-Run,3.2200431843549295
2025-10-17,Baseline,Name,"Vegetables, fruit, nuts",Long-Run,2.0048690284386206
2025-10-17,Baseline,Name,Fishing,Short-Run,3.167329455673254
2025-10-17,Baseline,Name,Fishing,Long-Run,2.3948435526735645
2025-10-17,Baseline,Name,Vegetable oils and fats,Short-Run,2.714653054723385
2025-10-17,Baseline,Name,Vegetable oils and fats,Long-Run,1.6148945042036769
2025-10-17,Baseline,Name,Food products nec,Short-Run,2.6425981939577023
2025-10-17,Baseline,Name,Food products nec,Long-Run,1.8898765405231885
2025-10-17,Baseline,Name,"Paper products, publishing",Short-Run,1.9865885385708681
2025-10-17,Baseline,Name,"Paper products, publishing",Long-Run,1.7148879719562267
2025-10-17,Baseline,Name,Paddy rice,Short-Run,1.8232149319761257
2025-10-17,Baseline,Name,Paddy rice,Long-Run,1.2449186735192435
2025-10-17,Baseline,Name,Beverages and tobacco products,Short-Run,1.7398233855201608
2025-10-17,Baseline,Name,Beverages and tobacco products,Long-Run,2.094863149415916
2025-10-17,Baseline,Name,Animal products nec,Short-Run,1.005213754902239
2025-10-17,Baseline,Name,Animal products nec,Long-Run,1.0199333710760066
2025-10-17,Baseline,Name,Cereal grains nec,Short-Run,0.8551240710628298
2025-10-17,Baseline,Name,Cereal grains nec,Long-Run,1.2199203065811057
2025-10-17,Baseline,Name,Sugar,Short-Run,0.8220331682615756
2025-10-17,Baseline,Name,Sugar,Long-Run,1.4149075686985777
2025-10-17,Baseline,Name,Bovine meat products,Short-Run,0.7382870924400484
2025-10-17,Baseline,Name,Bovine meat products,Long-Run,1.0549310847893987
2025-10-17,Baseline,Name,Oil,Short-Run,0.5949542019454086
2025-10-17,Baseline,Name,Oil,Long-Run,0.2699823629318841
2025-10-17,Baseline,Name,Forestry,Short-Run,0.5118173287234216
2025-10-17,Baseline,Name,Forestry,Long-Run,0.9799359839749866
2025-10-17,Baseline,Name,Dairy products,Short-Run,0.4689742461332492
2025-10-17,Baseline,Name,Dairy products,Long-Run,1.2049212864182235
2025-10-17,Baseline,Name,Basic pharmaceutical products,Short-Run,0.4674966404485534
2025-10-17,Baseline,Name,Basic pharmaceutical products,Long-Run,0.5949611331276704
2025-10-17,Baseline,Name,Meat products nec,Short-Run,0.31574086504193943
2025-10-17,Baseline,Name,Meat products nec,Long-Run,0.919939903323457
2025-10-17,Baseline,Name,Oil seeds,Short-Run,0.28559055418409507
2025-10-17,Baseline,Name,Oil seeds,Long-Run,0.4699692984369834
2025-10-17,Baseline,Name,"Petroleum, coal products",Short-Run,0.2612413757412787
2025-10-17,Baseline,Name,"Petroleum, coal products",Long-Run,0.3549768105215512
2025-10-17,Baseline,Name,"Wool, silk-worm cocoons",Short-Run,0.21238350860517785
2025-10-17,Baseline,Name,"Wool, silk-worm cocoons",Long-Run,5.889615250625175
2025-10-17,Baseline,Name,Minerals nec,Short-Run,0.16386365271903747
2025-10-17,Baseline,Name,Minerals nec,Long-Run,0.3899745242349437
2025-10-17,Baseline,Name,Electricity,Short-Run,0.12071339443089714
2025-10-17,Baseline,Name,Electricity,Long-Run,0.6649565605544553
2025-10-17,Baseline,Name,Plant-based fibers,Short-Run,0.07871512248613263
2025-10-17,Baseline,Name,Plant-based fibers,Long-Run,0.7999477420203973
2025-10-17,Baseline,Name,Natural gas,Short-Run,0.07086278623571944
2025-10-17,Baseline,Name,Natural gas,Long-Run,0.36997583068443374
2025-10-17,Baseline,Name,Construction,Short-Run,0.0587672918065783
2025-10-17,Baseline,Name,Construction,Long-Run,1.169923572704831
2025-10-17,Baseline,Name,Raw milk,Short-Run,0.03820458665565574
2025-10-17,Baseline,Name,Raw milk,Long-Run,1.014933697688379
2025-10-17,Baseline,Name,"Bovine cattle, sheep and goats",Short-Run,0.02935239744551614
2025-10-17,Baseline,Name,"Bovine cattle, sheep and goats",Long-Run,0.7749493750822598
2025-10-17,Baseline,Name,"Sugar cane, sugar beet",Short-Run,0.008213683339964464
2025-10-17,Baseline,Name,"Sugar cane, sugar beet",Long-Run,0.42497223794833605
