vintage_date,scenario,row_label_field,row_label,column,value
2025-10-17,Baseline,Label,Agriculture,All 2025 Tariffs to Date,-0.30961460550447945
2025-10-17,Baseline,Label,Mining & Extraction,All 2025 Tariffs to Date,-1.5563756320439814
2025-10-17,Baseline,Label,Total Manufacturing,All 2025 Tariffs to Date,2.474300313340777
2025-10-17,Baseline,Label,Durable Manufacturing,All 2025 Tariffs to Date,4.502420121213722
2025-10-17,Baseline,Label,Advanced Manufacturing,All 2025 Tariffs to Date,-3.29
2025-10-17,Baseline,Label,Nondurable Manufacturing,All 2025 Tariffs to Date,1.641261406471437
2025-10-17,Baseline,Label,Utilities,All 2025 Tariffs to Date,0.852598658699456
2025-10-17,Baseline,Label,Construction,All 2025 Tariffs to Date,-3.75
2025-10-17,Baseline,Label,Services,All 2025 Tariffs to Date,-0.193857136571296
2025-10-17,Baseline,Label,Overall Real GDP,All 2025 Tariffs to Date,-0.42
