vintage_date,scenario,row_label_field,row_label,column,value
2025-10-30,Baseline,Label,2025-01-02,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-03,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-04,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-05,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-06,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-07,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-08,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-09,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-10,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-11,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-12,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-13,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-14,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-15,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-16,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-17,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-18,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-19,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-20,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-21,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-22,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-23,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-24,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-25,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-26,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-27,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-28,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-29,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-30,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-01-31,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-02-01,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-02-02,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-02-03,Average Effective Tariff Rate,2.4
2025-10-30,Baseline,Label,2025-02-04,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-05,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-06,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-07,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-08,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-09,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-10,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-11,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-12,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-13,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-14,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-15,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-16,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-17,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-18,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-19,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-20,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-21,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-22,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-23,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-24,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-25,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-26,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-27,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-02-28,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-03-01,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-03-02,Average Effective Tariff Rate,3.8
2025-10-30,Baseline,Label,2025-03-03,Average Effective Tariff Rate,3.8
