category,series,value,unit,metric,scenario,measure
Tariff rate,"Effective rate, pre-substitution",17.9,pct,etr_presub_level,baseline,level
Tariff rate,"Effective rate, post-substitution",17.361361639064967,pct,etr_postsub_level,baseline,level
Consumer price increase,Pre-substitution,1.326926556924229,pct,price_presub,baseline,level
Consumer price increase,Post-substitution,1.156970567284998,pct,price_postsub,baseline,level
Household cost,Pre-substitution,-1800.0,usd,hh_cost_presub,baseline,level
Household cost,Post-substitution,-1600.0,usd,hh_cost_postsub,baseline,level
Real GDP,"Q4-Q4 growth (p.p.), 2025",-0.5209792635695099,pp,gdp_growth_2025,baseline,level
Real GDP,"Q4-Q4 growth (p.p.), 2026",-0.4568506704919928,pp,gdp_growth_2026,baseline,level
Real GDP,Long-run,-0.35,pct,gdp_longrun,baseline,level
Labor market,"Unemployment rate (p.p.), end of 2026",0.6747860908508301,pp,unemployment_2026,baseline,level
Revenue (10-year),Conventional,2600.0,usd_b,revenue_conventional,baseline,level
Revenue (10-year),Dynamic,2200.0,usd_b,revenue_dynamic,baseline,level
Tariff rate,"Effective rate, pre-substitution",9.076994049038827,pct,etr_presub_level,ieepa_invalidation,level
Tariff rate,"Effective rate, post-substitution",9.10972789941594,pct,etr_postsub_level,ieepa_invalidation,level
Consumer price increase,Pre-substitution,0.5716162241695878,pct,price_presub,ieepa_invalidation,level
Consumer price increase,Post-substitution,0.5500846426589975,pct,price_postsub,ieepa_invalidation,level
Household cost,Pre-substitution,-770.0,usd,hh_cost_presub,ieepa_invalidation,level
Household cost,Post-substitution,-740.0,usd,hh_cost_postsub,ieepa_invalidation,level
Real GDP,"Q4-Q4 growth (p.p.), 2025",-0.3841908501142077,pp,gdp_growth_2025,ieepa_invalidation,level
Real GDP,"Q4-Q4 growth (p.p.), 2026",0.11822687638733953,pp,gdp_growth_2026,ieepa_invalidation,level
Real GDP,Long-run,-0.1,pct,gdp_longrun,ieepa_invalidation,level
Labor market,"Unemployment rate (p.p.), end of 2026",0.21420955657958984,pp,unemployment_2026,ieepa_invalidation,level
Revenue (10-year),Conventional,1300.0,usd_b,revenue_conventional,ieepa_invalidation,level
Revenue (10-year),Dynamic,1100.0,usd_b,revenue_dynamic,ieepa_invalidation,level
Tariff rate,"Effective rate, pre-substitution",-8.823005950961171,pct,etr_presub_level,ieepa_invalidation,delta_vs_default
Tariff rate,"Effective rate, post-substitution",-8.251633739649026,pct,etr_postsub_level,ieepa_invalidation,delta_vs_default
Consumer price increase,Pre-substitution,-0.7553103327546412,pct,price_presub,ieepa_invalidation,delta_vs_default
Consumer price increase,Post-substitution,-0.6068859246260004,pct,price_postsub,ieepa_invalidation,delta_vs_default
Household cost,Pre-substitution,1030.0,usd,hh_cost_presub,ieepa_invalidation,delta_vs_default
Household cost,Post-substitution,860.0,usd,hh_cost_postsub,ieepa_invalidation,delta_vs_default
Real GDP,"Q4-Q4 growth (p.p.), 2025",0.13678841345530213,pp,gdp_growth_2025,ieepa_invalidation,delta_vs_default
Real GDP,"Q4-Q4 growth (p.p.), 2026",0.5750775468793323,pp,gdp_growth_2026,ieepa_invalidation,delta_vs_default
Real GDP,Long-run,0.24999999999999997,pct,gdp_longrun,ieepa_invalidation,delta_vs_default
Labor market,"Unemployment rate (p.p.), end of 2026",-0.46057653427124023,pp,unemployment_2026,ieepa_invalidation,delta_vs_default
Revenue (10-year),Conventional,-1300.0,usd_b,revenue_conventional,ieepa_invalidation,delta_vs_default
Revenue (10-year),Dynamic,-1100.0,usd_b,revenue_dynamic,ieepa_invalidation,delta_vs_default
