category,value,dimension,category_code,group,scenario,measure
Agriculture,-1.4267783526077098,sector,agriculture,Sectors,ieepa_invalidation,level
Mining & Extraction,-1.0907126369259141,sector,mining_and_extraction,Sectors,ieepa_invalidation,level
Total Manufacturing,1.3110095552282304,sector,total_manufacturing,Sectors,ieepa_invalidation,level
Durable Manufacturing,3.260707898009567,sector,durable_manufacturing,Manufacturing detail,ieepa_invalidation,level
Advanced Manufacturing,-0.64,sector,advanced_manufacturing,Manufacturing detail,ieepa_invalidation,level
Nondurable Manufacturing,-0.7306987773471493,sector,nondurable_manufacturing,Manufacturing detail,ieepa_invalidation,level
Utilities,0.004746434476233657,sector,utilities,Sectors,ieepa_invalidation,level
Construction,-2.29,sector,construction,Sectors,ieepa_invalidation,level
Services,-0.043296216764576734,sector,services,Sectors,ieepa_invalidation,level
Overall Real GDP,-0.1,sector,overall_real_gdp,Sectors,ieepa_invalidation,level
USA,-0.1,country,usa,Trading partners,ieepa_invalidation,level
China,-0.12,country,china,Trading partners,ieepa_invalidation,level
ROW,0.01,country,row,Trading partners,ieepa_invalidation,level
Canada,-0.32,country,canada,Trading partners,ieepa_invalidation,level
Mexico,-0.08,country,mexico,Trading partners,ieepa_invalidation,level
FTROW,0.01,country,ftrow,Trading partners,ieepa_invalidation,level
Japan,0.01,country,japan,Trading partners,ieepa_invalidation,level
EU,0.03,country,eu,Trading partners,ieepa_invalidation,level
UK,0.04,country,uk,Trading partners,ieepa_invalidation,level
"World Total
",-0.03917422260721892,country,"world_total
",Trading partners,ieepa_invalidation,level
"World ex USA
",-0.020521039495713378,country,"world_ex_usa
",Trading partners,ieepa_invalidation,level
