vintage_date,scenario,row_label_field,row_label,column,value
2025-10-30,IEEPA Invalidation,Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30 - Effective Tariff Rates,"Overall, Pre-Substitution",Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30,0.09076994049038828
2025-10-30,IEEPA Invalidation,Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30 - Effective Tariff Rates,"Overall, Post-Substitution",Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30,0.0910972789941594
2025-10-30,IEEPA Invalidation,Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30 - Effective Tariff Rates,"Conventional Revenue, 2026-2035 (Trillions)",Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30,1.3
2025-10-30,IEEPA Invalidation,Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30 - Effective Tariff Rates,"Dynamic Revenue, 2026-2035 (Trillions)",Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30,1.1
2025-10-30,IEEPA Invalidation,Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30 - Effective Tariff Rates,"Percent Change in PCE Price Level, Pre-Cubstitution",Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30,0.005716162241695878
2025-10-30,IEEPA Invalidation,Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30 - Effective Tariff Rates,"Percent Change in PCE Price Level, Post-Substitution",Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30,0.0055008464265899745
2025-10-30,IEEPA Invalidation,Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30 - Effective Tariff Rates,"Average Household Real Income Loss, Pre-Substitution (2025$)",Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30,-770
2025-10-30,IEEPA Invalidation,Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30 - Effective Tariff Rates,"Average Household Real Income Loss, Post-Substitution (2025$)",Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30,-740
2025-10-30,IEEPA Invalidation,Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30 - Effective Tariff Rates,"Percentage Point Change in Q4-Q4 GDP Growth, 2025",Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30,-0.3841908501142077
2025-10-30,IEEPA Invalidation,Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30 - Effective Tariff Rates,"Percentage Point Change in Q4-Q4 GDP Growth, 2026",Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30,0.11822687638733953
2025-10-30,IEEPA Invalidation,Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30 - Effective Tariff Rates,Percent change in long-run GDP,Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30,-0.001
2025-10-30,IEEPA Invalidation,Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30 - Effective Tariff Rates,"Change in the Unemployment Rate, End of 2026",Summary Economic & Fiscal Effects of 2025 Tariffs Through October 30,0.21420955657958984
