vintage_date,scenario,row_label_field,row_label,column,value
2025-11-17,Baseline,Name,Leather products,Short-Run,21.793217985095975
2025-11-17,Baseline,Name,Leather products,Long-Run,6.676311219814888
2025-11-17,Baseline,Name,Wearing apparel,Short-Run,20.9843117396755
2025-11-17,Baseline,Name,Wearing apparel,Long-Run,6.516010431279423
2025-11-17,Baseline,Name,Electrical equipment,Short-Run,18.245328954649175
2025-11-17,Baseline,Name,Electrical equipment,Long-Run,5.66251704367168
2025-11-17,Baseline,Name,Metal products,Short-Run,18.05328454954933
2025-11-17,Baseline,Name,Metal products,Long-Run,5.0213138895298215
2025-11-17,Baseline,Name,"Computer, electronic and optic",Short-Run,16.95310286599097
2025-11-17,Baseline,Name,"Computer, electronic and optic",Long-Run,5.294258475414532
2025-11-17,Baseline,Name,Metals nec,Short-Run,16.624314505485472
2025-11-17,Baseline,Name,Metals nec,Long-Run,5.224939215507304
2025-11-17,Baseline,Name,Textiles,Short-Run,13.675207482220213
2025-11-17,Baseline,Name,Textiles,Long-Run,4.445097541550989
2025-11-17,Baseline,Name,Motor vehicles and parts,Short-Run,12.619136558387074
2025-11-17,Baseline,Name,Motor vehicles and parts,Long-Run,5.294258475414532
2025-11-17,Baseline,Name,Machinery and equipment nec,Short-Run,10.886939238771516
2025-11-17,Baseline,Name,Machinery and equipment nec,Long-Run,4.146158233201069
2025-11-17,Baseline,Name,Transport equipment nec,Short-Run,7.7958424980757215
2025-11-17,Baseline,Name,Transport equipment nec,Long-Run,3.3359893830353426
2025-11-17,Baseline,Name,Manufactures nec,Short-Run,7.715266937715012
2025-11-17,Baseline,Name,Manufactures nec,Long-Run,2.7727703962891166
2025-11-17,Baseline,Name,Rubber and plastic products,Short-Run,7.678556013954237
2025-11-17,Baseline,Name,Rubber and plastic products,Long-Run,2.777102850033318
2025-11-17,Baseline,Name,Mineral products nec,Short-Run,7.660472751011755
2025-11-17,Baseline,Name,Mineral products nec,Long-Run,2.6038047002652482
2025-11-17,Baseline,Name,Ferrous metals,Short-Run,6.5948022711990415
2025-11-17,Baseline,Name,Ferrous metals,Long-Run,2.9504009998013876
2025-11-17,Baseline,Name,Crops nec,Short-Run,4.459363181032354
2025-11-17,Baseline,Name,Crops nec,Long-Run,1.559683347912628
2025-11-17,Baseline,Name,Processed rice,Short-Run,3.885786506111874
2025-11-17,Baseline,Name,Processed rice,Long-Run,3.2580052156397117
2025-11-17,Baseline,Name,Wood products,Short-Run,2.841272422695503
2025-11-17,Baseline,Name,Wood products,Long-Run,1.6203377003314523
2025-11-17,Baseline,Name,Chemical products,Short-Run,2.0539151083766614
2025-11-17,Baseline,Name,Chemical products,Long-Run,1.3257308457257337
2025-11-17,Baseline,Name,Fishing,Short-Run,2.031836355436722
2025-11-17,Baseline,Name,Fishing,Long-Run,1.3300632994699353
2025-11-17,Baseline,Name,Vegetable oils and fats,Short-Run,1.8640431549203798
2025-11-17,Baseline,Name,Vegetable oils and fats,Long-Run,0.9401424624917785
2025-11-17,Baseline,Name,Beverages and tobacco products,Short-Run,1.6113840562999007
2025-11-17,Baseline,Name,Beverages and tobacco products,Long-Run,1.473034273028593
2025-11-17,Baseline,Name,Food products nec,Short-Run,1.5203589391093943
2025-11-17,Baseline,Name,Food products nec,Long-Run,1.1221055197482517
2025-11-17,Baseline,Name,Paddy rice,Short-Run,1.2893703639961673
2025-11-17,Baseline,Name,Paddy rice,Long-Run,0.6715303303512704
2025-11-17,Baseline,Name,"Paper products, publishing",Short-Run,1.2639839374636435
2025-11-17,Baseline,Name,"Paper products, publishing",Long-Run,1.169762510934471
2025-11-17,Baseline,Name,"Vegetables, fruit, nuts",Short-Run,1.188826495542728
2025-11-17,Baseline,Name,"Vegetables, fruit, nuts",Long-Run,0.6671978766070685
