vintage_date,scenario,row_label_field,row_label,column,value
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Overall, Pre-Substitution",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Baseline,0.16804955336938376
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Overall, Pre-Substitution",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - IEEPA Invalidation ,0.09267761520740646
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Overall, Post-Substitution",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Baseline,0.14355874079073294
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Overall, Post-Substitution",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - IEEPA Invalidation ,0.0803397448385099
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Conventional Revenue, 2026-2035 (Trillions)",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Baseline,2.728331234341563
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Conventional Revenue, 2026-2035 (Trillions)",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - IEEPA Invalidation ,1.3759049819481546
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Dynamic Revenue, 2026-2035 (Trillions)",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Baseline,2.341743234341563
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Dynamic Revenue, 2026-2035 (Trillions)",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - IEEPA Invalidation ,1.1628799819481543
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Percent Change in PCE Price Level, pre-substitution",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Baseline,0.012349939084544253
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Percent Change in PCE Price Level, pre-substitution",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - IEEPA Invalidation ,0.005879919381386239
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Percent Change in PCE Price Level, post-substitution",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Baseline,0.009288017008254806
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Percent Change in PCE Price Level, post-substitution",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - IEEPA Invalidation ,0.00462028633397219
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Average Household Real Income Loss, Pre-Substitution (2025$)",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Baseline,1670.7824617056278
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Average Household Real Income Loss, Pre-Substitution (2025$)",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - IEEPA Invalidation ,791.6065982321486
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Average Household Real Income Loss, Post-Substitution (2025$)",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Baseline,1256.5451388206884
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Average Household Real Income Loss, Post-Substitution (2025$)",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - IEEPA Invalidation ,622.0236895207117
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Percentage Point Change in Q4-Q4 GDP Growth, 2025",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Baseline,-0.49753813609727526
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Percentage Point Change in Q4-Q4 GDP Growth, 2025",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - IEEPA Invalidation ,-0.49753813609727526
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Percentage Point Change in Q4-Q4 GDP Growth, 2026",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Baseline,-0.3857728990179776
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Percentage Point Change in Q4-Q4 GDP Growth, 2026",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - IEEPA Invalidation ,0.09988449027134028
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,Percent change in long-run GDP,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Baseline,-0.0031
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,Percent change in long-run GDP,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - IEEPA Invalidation ,-0.001
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Change in the Unemployment Rate, End of 2026",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Baseline,0.615994930267334
2025-11-17,Baseline,Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - Effective Tariff Rates,"Change in the Unemployment Rate, End of 2026",Summary Economic & Fiscal Effects of 2025 Tariffs Through November 17 - IEEPA Invalidation ,0.341036319732666
