vintage_date,scenario,row_label_field,row_label,column,value
2025-11-17,Baseline,Label,China,Average Effective Tariff Rate - Pre-Substitution,24
2025-11-17,Baseline,Label,China,Average Effective Tariff Rate - Post-Substitution,22.8
2025-11-17,Baseline,Label,China,Share of Goods Imports - Pre-Substitution,0.13
2025-11-17,Baseline,Label,China,Share of Goods Imports - Post-Substitution,0.09
2025-11-17,Baseline,Label,China,Contribution - Pre-Substitution,3.2
2025-11-17,Baseline,Label,China,Contribution - Post-Substitution,2
2025-11-17,Baseline,Label,Canada,Average Effective Tariff Rate - Pre-Substitution,8.1
2025-11-17,Baseline,Label,Canada,Average Effective Tariff Rate - Post-Substitution,5.3
2025-11-17,Baseline,Label,Canada,Share of Goods Imports - Pre-Substitution,0.13
2025-11-17,Baseline,Label,Canada,Share of Goods Imports - Post-Substitution,0.16
2025-11-17,Baseline,Label,Canada,Contribution - Pre-Substitution,1
2025-11-17,Baseline,Label,Canada,Contribution - Post-Substitution,0.8
2025-11-17,Baseline,Label,Mexico,Average Effective Tariff Rate - Pre-Substitution,12.8
2025-11-17,Baseline,Label,Mexico,Average Effective Tariff Rate - Post-Substitution,11.2
2025-11-17,Baseline,Label,Mexico,Share of Goods Imports - Pre-Substitution,0.16
2025-11-17,Baseline,Label,Mexico,Share of Goods Imports - Post-Substitution,0.19
2025-11-17,Baseline,Label,Mexico,Contribution - Pre-Substitution,2
2025-11-17,Baseline,Label,Mexico,Contribution - Post-Substitution,2.1
2025-11-17,Baseline,Label,Rest of World,Average Effective Tariff Rate - Pre-Substitution,14
2025-11-17,Baseline,Label,Rest of World,Average Effective Tariff Rate - Post-Substitution,12.4
2025-11-17,Baseline,Label,Rest of World,Share of Goods Imports - Pre-Substitution,0.58
2025-11-17,Baseline,Label,Rest of World,Share of Goods Imports - Post-Substitution,0.57
2025-11-17,Baseline,Label,Rest of World,Contribution - Pre-Substitution,8.1
2025-11-17,Baseline,Label,Rest of World,Contribution - Post-Substitution,7
2025-11-17,Baseline,Label,Total,Average Effective Tariff Rate - Pre-Substitution,14.4
2025-11-17,Baseline,Label,Total,Average Effective Tariff Rate - Post-Substitution,11.9
2025-11-17,Baseline,Label,Total,Share of Goods Imports - Pre-Substitution,1
2025-11-17,Baseline,Label,Total,Share of Goods Imports - Post-Substitution,1
2025-11-17,Baseline,Label,Total,Contribution - Pre-Substitution,14.4
2025-11-17,Baseline,Label,Total,Contribution - Post-Substitution,11.9
