vintage_date,scenario,row_label_field,row_label,column,value
2025-11-17,Baseline,Date,2025-01-01,All 2025 Tariffs to Date,-0.006828337282127617
2025-11-17,Baseline,Date,2025-04-01,All 2025 Tariffs to Date,-0.2485981662921799
2025-11-17,Baseline,Date,2025-07-01,All 2025 Tariffs to Date,-0.4925831177902351
2025-11-17,Baseline,Date,2025-10-01,All 2025 Tariffs to Date,-0.4882694478751892
2025-11-17,Baseline,Date,2026-01-01,All 2025 Tariffs to Date,-0.8145132926412835
2025-11-17,Baseline,Date,2026-04-01,All 2025 Tariffs to Date,-0.9713467809991827
2025-11-17,Baseline,Date,2026-07-01,All 2025 Tariffs to Date,-0.9761605805756579
2025-11-17,Baseline,Date,2026-10-01,All 2025 Tariffs to Date,-0.8658363202436514
2025-11-17,Baseline,Date,2027-01-01,All 2025 Tariffs to Date,-0.7594801034798371
2025-11-17,Baseline,Date,2027-04-01,All 2025 Tariffs to Date,-0.6852504620132982
2025-11-17,Baseline,Date,2027-07-01,All 2025 Tariffs to Date,-0.6376701451114242
2025-11-17,Baseline,Date,2027-10-01,All 2025 Tariffs to Date,-0.5990971959113356
2025-11-17,Baseline,Date,2028-01-01,All 2025 Tariffs to Date,-0.5529293893950182
2025-11-17,Baseline,Date,2028-04-01,All 2025 Tariffs to Date,-0.49900907813993367
2025-11-17,Baseline,Date,2028-07-01,All 2025 Tariffs to Date,-0.44625021274382615
2025-11-17,Baseline,Date,2028-10-01,All 2025 Tariffs to Date,-0.4066747618024058
2025-11-17,Baseline,Date,2029-01-01,All 2025 Tariffs to Date,-0.3727438472280409
2025-11-17,Baseline,Date,2029-04-01,All 2025 Tariffs to Date,-0.3519562327322978
2025-11-17,Baseline,Date,2029-07-01,All 2025 Tariffs to Date,-0.33756124062794823
2025-11-17,Baseline,Date,2029-10-01,All 2025 Tariffs to Date,-0.32735236663464784
2025-11-17,Baseline,Date,2030-01-01,All 2025 Tariffs to Date,-0.3165980036974658
2025-11-17,Baseline,Date,2030-04-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2030-07-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2030-10-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2031-01-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2031-04-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2031-07-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2031-10-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2032-01-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2032-04-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2032-07-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2032-10-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2033-01-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2033-04-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2033-07-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2033-10-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2034-01-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2034-04-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2034-07-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2034-10-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2035-01-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2035-04-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2035-07-01,All 2025 Tariffs to Date,-0.31
2025-11-17,Baseline,Date,2035-10-01,All 2025 Tariffs to Date,-0.31
