category,series,value
2026,conventional,120.35763392953308
2027,conventional,120.21521945099857
2028,conventional,124.7486292211118
2029,conventional,128.8905266491672
2030,conventional,133.28258424825162
2031,conventional,138.48868436790056
2032,conventional,144.00087499315808
2033,conventional,149.59848745486488
2034,conventional,155.3343994184411
2035,conventional,160.9879422147275
2026,dynamic,89.07463392953308
2027,dynamic,93.30421945099857
2028,dynamic,100.3856292211118
2029,dynamic,107.9305266491672
2030,dynamic,113.87758424825162
2031,dynamic,121.58568436790057
2032,dynamic,127.18487499315808
2033,dynamic,131.8264874548649
2034,dynamic,136.56339941844112
2035,dynamic,141.1469422147275
2026,difference,-31.283
2027,difference,-26.911
2028,difference,-24.363
2029,difference,-20.96
2030,difference,-19.405
2031,difference,-16.903
2032,difference,-16.816
2033,difference,-17.772
2034,difference,-18.771
2035,difference,-19.841
2026-35,conventional,1375.9049819481545
2026-35,dynamic,1162.8799819481544
2026-35,difference,-213.02499999999998
