category,series,value
2026,conventional,12.6368012459652
2027,conventional,83.5291207016406
2028,conventional,123.517861236558
2029,conventional,127.618939114033
2030,conventional,131.967763807614
2031,conventional,137.122533790399
2032,conventional,142.580430968926
2033,conventional,148.122863609154
2034,conventional,153.80228230622
2035,conventional,159.400095326084
2026-35,conventional,1220.29869210659
2026,dynamic,-6.78919875403475
2027,dynamic,60.4951207016406
2028,dynamic,98.0538612365584
2029,dynamic,104.745939114033
2030,dynamic,111.166763807614
2031,dynamic,118.352533790399
2032,dynamic,126.502430968926
2033,dynamic,133.869863609154
2034,dynamic,139.64128230622
2035,dynamic,144.579095326084
2026-35,dynamic,1030.61769210659
2026,difference,-19.425999999999952
2027,difference,-23.033999999999992
2028,difference,-25.4639999999996
2029,difference,-22.87299999999999
2030,difference,-20.801000000000002
2031,difference,-18.769999999999996
2032,difference,-16.078000000000003
2033,difference,-14.252999999999986
2034,difference,-14.161000000000001
2035,difference,-14.820999999999998
2026-35,difference,-189.6809999999998
