category,series,value
2026,conventional,95.3702159437798
2027,conventional,83.5291207016406
2028,conventional,123.517861236558
2029,conventional,127.618939114033
2030,conventional,131.967763807614
2031,conventional,137.122533790399
2032,conventional,142.580430968926
2033,conventional,148.122863609154
2034,conventional,153.80228230622
2035,conventional,159.400095326084
2026,dynamic,70.5792159437798
2027,dynamic,60.1941207016406
2028,dynamic,102.447861236558
2029,dynamic,108.622939114033
2030,dynamic,113.771763807614
2031,dynamic,120.665533790399
2032,dynamic,128.980430968926
2033,dynamic,134.967863609154
2034,dynamic,140.02328230622
2035,dynamic,144.879095326084
2026,difference,-24.790999999999997
2027,difference,-23.334999999999994
2028,difference,-21.070000000000007
2029,difference,-18.995999999999995
2030,difference,-18.196000000000012
2031,difference,-16.456999999999994
2032,difference,-13.600000000000023
2033,difference,-13.155000000000001
2034,difference,-13.778999999999996
2035,difference,-14.520999999999987
2026-35,conventional,1303.0321068044084
2026-35,dynamic,1125.1321068044083
2026-35,difference,-177.9000000000001
