category,value,country_code,substitution,metric
China,15.538016088599,chn,presub,rate
China,14.2402694791314,chn,postsub,rate
China,13.3808291343845,chn,presub,import_share
China,11.2925246919639,chn,postsub,import_share
China,2.0791153836886,chn,presub,contribution
China,1.60808594713312,chn,postsub,contribution
Canada,6.31498627934968,ca,presub,rate
Canada,4.47148910413704,ca,postsub,rate
Canada,12.5638177399534,ca,presub,import_share
Canada,15.1849558666582,ca,postsub,import_share
Canada,0.79340336644056,ca,presub,contribution
Canada,0.678993647045642,ca,postsub,contribution
Mexico,11.3286945282436,mx,presub,rate
Mexico,10.0620587586201,mx,postsub,rate
Mexico,15.7378472382499,mx,presub,import_share
Mexico,17.5159938235871,mx,postsub,import_share
Mexico,1.78289263894295,mx,presub,contribution
Mexico,1.76246959068561,mx,postsub,contribution
Rest of World,11.4182156521085,row,presub,rate
Rest of World,10.1909645204375,row,postsub,rate
Rest of World,58.3175058874122,row,presub,import_share
Rest of World,56.0065256177907,row,postsub,import_share
Rest of World,6.6588185851558,row,presub,contribution
Rest of World,5.70760515483877,row,postsub,contribution
Total,11.3142299742279,total,presub,rate
Total,9.75715433970314,total,postsub,rate
Total,100,total,presub,import_share
Total,100,total,postsub,import_share
Total,11.3142299742279,total,presub,contribution
Total,9.75715433970314,total,postsub,contribution
