category,value,substitution,basis
1,-0.836947982549374,postsub,% of after-tax income
2,-0.516556173467273,postsub,% of after-tax income
3,-0.498539207460947,postsub,% of after-tax income
4,-0.442680228051209,postsub,% of after-tax income
5,-0.453535050714582,postsub,% of after-tax income
6,-0.447015865591082,postsub,% of after-tax income
7,-0.425955843521117,postsub,% of after-tax income
8,-0.410579080879972,postsub,% of after-tax income
9,-0.376583143156777,postsub,% of after-tax income
10,-0.264869027987041,postsub,% of after-tax income
1,-314.70081091839,postsub,2025 dollars
2,-312.531981632904,postsub,2025 dollars
3,-368.236014806879,postsub,2025 dollars
4,-381.063567108761,postsub,2025 dollars
5,-457.861775098399,postsub,2025 dollars
6,-520.268355485492,postsub,2025 dollars
7,-582.707593936888,postsub,2025 dollars
8,-672.959642516318,postsub,2025 dollars
9,-782.1481250109,postsub,2025 dollars
10,-1324.72125395495,postsub,2025 dollars
