category,value,substitution,basis
1,-1.3803290724479,presub,% of after-tax income
2,-0.851925709429924,presub,% of after-tax income
3,-0.822211387280434,presub,% of after-tax income
4,-0.730086458558259,presub,% of after-tax income
5,-0.747988679019894,presub,% of after-tax income
6,-0.737236970500056,presub,% of after-tax income
7,-0.702503914998783,presub,% of after-tax income
8,-0.677143924944143,presub,% of after-tax income
9,-0.621076424737598,presub,% of after-tax income
10,-0.43683290639865,presub,% of after-tax income
1,-519.017534531136,presub,2025 dollars
2,-515.440611976387,presub,2025 dollars
3,-607.309996986947,presub,2025 dollars
4,-628.465724391535,presub,2025 dollars
5,-755.124491017744,presub,2025 dollars
6,-858.047992855901,presub,2025 dollars
7,-961.025355718335,presub,2025 dollars
8,-1109.8727501797,presub,2025 dollars
9,-1289.950891123,presub,2025 dollars
10,-2184.78483472034,presub,2025 dollars
