category,value,country_code,substitution
China,23.85258878694352,chn,presub
China,23.52807217725612,chn,postsub
Canada,7.148710364810602,ca,presub
Canada,4.580448596151797,ca,postsub
Mexico,11.52201820837357,mx,presub
Mexico,9.656525354865174,mx,postsub
EU,9.743136177499403,eu,presub
EU,7.922259449032509,eu,postsub
Japan,13.41605722919414,jpn,presub
Japan,12.58584313466238,jpn,postsub
UK,7.612800631678255,uk,presub
UK,7.293062912141594,uk,postsub
FTA Partners,12.22624108436294,fta_partners,presub
FTA Partners,9.468555446857085,fta_partners,postsub
Rest of World,10.952513682465,row,presub
Rest of World,9.667183878339955,row,postsub
Total,12.23790204279976,total,presub
Total,10.52998926720054,total,postsub
