"Table 2. Average Effective US Tariff Rate at the End of 2026, Trump Administration Tariffs",,,,,,
Subtitle: Pre- and post-substitution,,,,,,
"Source: GTAP v7, The Budget Lab analysis.",,,,,,
,,,,,,
,,,,,,
Section 122 Extended,,,,,,
,Average Effective Tariff Rate,,Share of Goods Imports,,Contribution,
,Pre-Substitution,Post-Substitution,Pre-Substitution,Post-Substitution,Pre-Substitution,Post-Substitution
China,23.2,22.9,13.40%,13.30%,3.1,3.1
Canada,6.1,3.9,12.60%,14.60%,0.8,0.6
Mexico,9.8,8.4,15.70%,16.60%,1.5,1.4
EU,8.6,7.2,18.00%,17.10%,1.5,1.2
Japan,12.1,11.4,4.60%,4.20%,0.6,0.5
UK,7.4,7,2.00%,2.10%,0.1,0.1
FTA Partners,8.5,7.5,9.20%,9.70%,0.8,0.7
Rest of World,10.5,9.1,24.40%,22.40%,2.6,2
Total,11,9.6,100.00%,100.00%,11,9.6
