Figure 7. Consumer Price Effects by PCE Spending Category,,,
Percent change in consumer prices,,,
Notes: I-O price model (Barbiero & Stein 2025). Pre-sub = welfare-relevant tariff price effect. Post-sub = after partial equilibrium trade substitution.,,,
"Source: BEA, GTAP v7, The Budget Lab analysis.",,,
,,,
Scenario: Section 122 Extended,,,
Major Category,Top Level,Pre-Substitution,Post-Substitution
Motor vehicles and parts,Durable goods,4.44,3.78
Clothing and footwear,Nondurable goods,7.46,5.75
Recreational goods and vehicles,Durable goods,2.26,1.99
Furnishings and durable household equipment,Durable goods,2.86,2.28
Other durable goods,Durable goods,3.30,2.71
Transportation services,Services,0.74,0.71
Net foreign travel,Services,0.88,0.79
Communication,Services,0.50,0.46
Food and beverages purchased for off-premises consumption,Nondurable goods,0.97,0.85
Other nondurable goods,Nondurable goods,1.16,0.97
Gasoline and other energy goods,Nondurable goods,0.37,0.34
Other services,Services,0.41,0.38
Household utilities,Services,0.36,0.33
Final consumption expenditures of NPISH,Services,0.39,0.36
Recreation services,Services,0.40,0.36
Food services and accommodations,Services,0.46,0.42
Health care,Services,0.36,0.33
Education,Services,0.26,0.24
Financial services and insurance,Services,0.11,0.10
Housing,Services,0.06,0.06
