Figure 7. Consumer Price Effects by PCE Spending Category,,,
Percent change in consumer prices,,,
Notes: I-O price model (Barbiero & Stein 2025). Pre-sub = welfare-relevant tariff price effect. Post-sub = after partial equilibrium trade substitution.,,,
"Source: BEA, GTAP v7, The Budget Lab analysis.",,,
,,,
Scenario: Section 122 Expires,,,
Major Category,Top Level,Pre-Substitution,Post-Substitution
Motor vehicles and parts,Durable goods,4.19,3.56
Clothing and footwear,Nondurable goods,3.61,2.42
Recreational goods and vehicles,Durable goods,1.62,1.39
Furnishings and durable household equipment,Durable goods,1.61,1.36
Other durable goods,Durable goods,1.31,1.02
Transportation services,Services,0.64,0.61
Net foreign travel,Services,0.49,0.42
Communication,Services,0.36,0.32
Food and beverages purchased for off-premises consumption,Nondurable goods,0.35,0.32
Other nondurable goods,Nondurable goods,0.33,0.28
Gasoline and other energy goods,Nondurable goods,0.30,0.27
Other services,Services,0.26,0.24
Household utilities,Services,0.26,0.24
Final consumption expenditures of NPISH,Services,0.26,0.24
Recreation services,Services,0.24,0.21
Food services and accommodations,Services,0.22,0.20
Health care,Services,0.17,0.15
Education,Services,0.16,0.15
Financial services and insurance,Services,0.08,0.07
Housing,Services,0.04,0.04
